analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,injury_concern,resp_carries,color_carries,resp_targets,color_targets,resp_receptions,color_receptions,resp_total_touches,color_total_touches,resp_touchdowns,color_touchdowns,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_pff_run_blocking_grade,color_pff_run_blocking_grade,resp_teams_wins,color_teams_wins,resp_age,color_age,resp_efficiency_yards_per_carry,color_efficiency_yards_per_carry,resp_efficiency_yards_per_touch,color_efficiency_yards_per_touch,n_green,n_yellow,n_orange,n_red,n_purple_uncounted,n_cells_counted,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,11,Derrick Henry,Derrick Henry,,Trusty Veteran,Concerned,Yes,yellow,No,red,No,red,?,orange,Yes,green,Yes,yellow,?,orange,Yes,yellow,No,red,Yes,green,No,red,2,3,2,6,0,13,2,3,2,6,-1,-1,Y,,26,-15
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,12,Devon Achane,De'Von Achane,,Prime Multi Time RB1,Minimal Concerns,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,No,red,No,red,No,red,No,red,Yes,green,Yes,yellow,Yes,green,2,6,0,4,1,12,3,6,0,4,16,21,N,"Published counts include one green the grid does not contain; the purple Prime Multi Time RB1 archetype cell appears to have been counted as green here, while it is excluded for Gibbs, Robinson, Cook and K. Williams. Grid yields 2 green and a score of 16.",11,1
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,13,Jeremiyah Love,Jeremiyah Love,,Breakout Candidate,Minimal Concerns,?,orange,Yes,yellow,Yes,yellow,?,orange,No,red,No,red,?,orange,No,red,Yes,yellow,Yes,yellow,Yes,yellow,0,6,4,3,0,13,0,6,4,3,5,5,Y,,22,-9
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,14,Breece Hall,Breece Hall,,RB1s In Their Prime,Minimal Concerns,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,No,red,No,red,Yes,yellow,No,red,Yes,green,Yes,yellow,Yes,yellow,2,7,1,3,0,13,2,7,1,3,21,21,Y,,9,5
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,15,Kyren Williams,Kyren Williams,,Prime Multi Time RB1,Minimal Concerns,Yes,yellow,No,red,No,red,No,red,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,3,6,0,3,1,12,3,6,0,3,24,24,Y,,7,8
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,16,Javonte Williams,Javonte Williams,,RB1s In Their Prime,Some Concern,Yes,yellow,No,red,No,red,No,red,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,No,red,2,6,1,4,0,13,2,6,1,4,15,15,Y,,13,3
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,17,Josh Jacobs,Josh Jacobs,,Trusty Veteran,Some Concern,Yes,yellow,No,red,No,red,No,red,Yes,yellow,Yes,yellow,No,red,Yes,yellow,No,red,Yes,yellow,No,red,0,5,1,7,0,13,0,5,1,7,-7,-7,Y,,31,-14
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,18,Travis Etienne,Travis Etienne Jr.,,Trusty Veteran,Minimal Concerns,Yes,yellow,No,red,No,red,No,red,No,red,?,orange,Yes,yellow,?,orange,Yes,yellow,?,orange,No,red,0,4,3,6,0,13,0,4,3,6,-9,-9,Y,,33,-15
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,19,Cam Skattebo,Cam Skattebo,,Breakout Candidate,Some Concern,Yes,yellow,?,orange,?,orange,Yes,yellow,No,red,?,orange,?,orange,?,orange,Yes,yellow,Yes,yellow,?,orange,0,5,7,1,0,13,0,5,7,1,5,5,Y,,23,-4
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,20,David Montgomery,David Montgomery,,Trusty Veteran,Some Concern,Yes,yellow,No,red,No,red,?,orange,Yes,yellow,Yes,yellow,No,red,Yes,yellow,No,red,Yes,yellow,?,orange,0,5,3,5,0,13,0,5,3,5,-3,-3,Y,,28,-8
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,21,D'Andre Swift,D'Andre Swift,,Trusty Veteran,Some Concern,?,orange,No,red,No,red,No,red,?,orange,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,2,4,3,4,0,13,2,4,3,4,7,7,Y,,19,2
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,22,Bhayshul Tuten,Bhayshul Tuten,,Breakout Candidate,Minimal Concerns,Yes,yellow,No,red,No,red,No,red,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,?,orange,?,orange,0,6,4,3,0,13,0,6,4,3,5,5,Y,,24,-2
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,23,Quinshon Judkins,Quinshon Judkins,,Breakout Candidate,Some Concern,Yes,yellow,?,orange,?,orange,Yes,yellow,No,red,No,red,No,red,No,red,Yes,yellow,Yes,yellow,?,orange,0,5,4,4,0,13,0,5,4,3,-1,2,N,Published counts total 12 cells against 13 in the grid; one red was omitted. Grid yields 4 red and a score of -1.,27,-4
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,24,TreVeyon Henderson,TreVeyon Henderson,,Breakout Candidate,Minimal Concerns,No,red,?,orange,?,orange,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,0,7,3,3,0,13,0,7,3,3,9,9,Y,,17,7
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,25,Bucky Irving,Bucky Irving,,Breakout Candidate,Concerned,Yes,yellow,?,orange,?,orange,No,red,No,red,Yes,yellow,Yes,green,Yes,yellow,Yes,green,Yes,yellow,Yes,green,3,5,2,3,0,13,3,5,3,2,19,21,N,Published counts swap one red for one orange. Grid yields 2 orange / 3 red and a score of 19.,10,15
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,26,Jadarian Price,Jadarian Price,,Breakout Candidate,Minimal Concerns,?,orange,?,orange,?,orange,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,0,5,6,2,0,13,0,5,6,2,3,3,Y,,25,1
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,27,Jaylen Warren,Jaylen Warren,,Trusty Veteran,Minimal Concerns,No,red,Yes,yellow,Yes,yellow,No,red,No,red,?,orange,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,0,7,2,4,0,13,0,7,2,4,7,7,Y,,20,7
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,28,Rhamondre Stevenson,Rhamondre Stevenson,,Trusty Veteran,Minimal Concerns,No,red,No,red,No,red,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,No,red,Yes,yellow,Yes,yellow,0,6,0,7,0,13,0,6,0,7,-3,-3,Y,,29,-1
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,29,Tony Pollard,Tony Pollard,,Trusty Veteran,Some Concern,?,orange,No,red,No,red,No,red,No,red,No,red,No,red,?,orange,No,red,Yes,yellow,No,red,0,1,3,9,0,13,0,1,3,9,-27,-27,Y,,36,-7
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,30,Chuba Hubbard,Chuba Hubbard,,Trusty Veteran,Minimal Concerns,?,orange,No,red,No,red,No,red,No,red,No,red,Yes,green,?,orange,Yes,yellow,?,orange,No,red,1,2,3,7,0,13,1,2,3,7,-13,-13,Y,,35,-5
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,31,RJ Harvey,R.J. Harvey,,Breakout Candidate,Minimal Concerns,No,red,?,orange,?,orange,No,red,No,red,Yes,yellow,Yes,green,Yes,green,Yes,yellow,?,orange,No,red,2,4,3,4,0,13,2,4,3,4,7,7,Y,,21,10
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,32,Rico Dowdle,Rico Dowdle,,Trusty Veteran,Minimal Concerns,Yes,yellow,No,red,No,red,No,red,No,red,?,orange,Yes,yellow,?,orange,No,red,Yes,yellow,No,red,0,4,2,7,0,13,0,4,2,7,-11,-11,Y,,34,-2
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,33,Jonathon Brooks,Jonathon Brooks,,Breakout Candidate,Concerned,Yes,yellow,No,red,No,red,No,red,No,red,No,red,Yes,green,?,orange,Yes,yellow,?,orange,Yes,yellow,1,3,3,6,0,13,1,3,3,6,-7,-7,Y,,32,1
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,34,Blake Corum,Blake Corum,,Breakout Candidate,Minimal Concerns,No,red,No,red,No,red,No,red,No,red,Yes,green,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,yellow,4,3,1,5,0,13,4,3,1,5,13,13,Y,,16,18
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,35,JK Dobbins,J.K. Dobbins,,Trusty Veteran,Concerned,No,red,No,red,No,red,No,red,No,red,Yes,yellow,Yes,green,Yes,green,Yes,yellow,Yes,yellow,No,red,2,3,0,8,0,13,2,3,0,8,-5,-5,Y,,30,5
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,36,Kyle Monangai,Kyle Monangai,,Breakout Candidate,Minimal Concerns,No,red,No,red,No,red,No,red,No,red,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,2,5,1,5,0,13,2,5,1,5,9,9,Y,,18,18
