analysis_id,season,position,adp_position_rank,player_name_normalized,player_name_source,nfl_team,archetype,archetype_cohort_used,archetype_cohort_mapping,injury_concern,factor_score,factor_score_rank,factor_score_normalized,adp_minus_score_rank,p_returned_on_adp,p_got_injured,p_boomed,p_busted,p_fine,prob_basis,prob_is_player_specific,caveat
RB_PLAYER_PRIORS_2026,2026,RB,11,Derrick Henry,Derrick Henry,,Trusty Veteran,Trusty Veteran,exact,Concerned,-1,26,0.321,-15,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,12,De'Von Achane,Devon Achane,,Prime Multi Time RB1,RB1s In Their Prime,ASSUMED - no published base rate for this archetype; nearest cohort substituted,Minimal Concerns,16,11,0.5309,1,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,13,Jeremiyah Love,Jeremiyah Love,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,5,22,0.3951,-9,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,14,Breece Hall,Breece Hall,,RB1s In Their Prime,RB1s In Their Prime,exact,Minimal Concerns,21,9,0.5926,5,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,15,Kyren Williams,Kyren Williams,,Prime Multi Time RB1,RB1s In Their Prime,ASSUMED - no published base rate for this archetype; nearest cohort substituted,Minimal Concerns,24,7,0.6296,8,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,16,Javonte Williams,Javonte Williams,,RB1s In Their Prime,RB1s In Their Prime,exact,Some Concern,15,13,0.5185,3,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,17,Josh Jacobs,Josh Jacobs,,Trusty Veteran,Trusty Veteran,exact,Some Concern,-7,31,0.2469,-14,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,18,Travis Etienne Jr.,Travis Etienne,,Trusty Veteran,Trusty Veteran,exact,Minimal Concerns,-9,33,0.2222,-15,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,19,Cam Skattebo,Cam Skattebo,,Breakout Candidate,Breakout Candidate,exact,Some Concern,5,23,0.3951,-4,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,20,David Montgomery,David Montgomery,,Trusty Veteran,Trusty Veteran,exact,Some Concern,-3,28,0.2963,-8,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,21,D'Andre Swift,D'Andre Swift,,Trusty Veteran,Trusty Veteran,exact,Some Concern,7,19,0.4198,2,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,22,Bhayshul Tuten,Bhayshul Tuten,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,5,24,0.3951,-2,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,23,Quinshon Judkins,Quinshon Judkins,,Breakout Candidate,Breakout Candidate,exact,Some Concern,-1,27,0.321,-4,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,24,TreVeyon Henderson,TreVeyon Henderson,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,9,17,0.4444,7,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,25,Bucky Irving,Bucky Irving,,Breakout Candidate,Breakout Candidate,exact,Concerned,19,10,0.5679,15,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,26,Jadarian Price,Jadarian Price,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,3,25,0.3704,1,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,27,Jaylen Warren,Jaylen Warren,,Trusty Veteran,Trusty Veteran,exact,Minimal Concerns,7,20,0.4198,7,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,28,Rhamondre Stevenson,Rhamondre Stevenson,,Trusty Veteran,Trusty Veteran,exact,Minimal Concerns,-3,29,0.2963,-1,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,29,Tony Pollard,Tony Pollard,,Trusty Veteran,Trusty Veteran,exact,Some Concern,-27,36,0.0,-7,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,30,Chuba Hubbard,Chuba Hubbard,,Trusty Veteran,Trusty Veteran,exact,Minimal Concerns,-13,35,0.1728,-5,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,31,R.J. Harvey,RJ Harvey,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,7,21,0.4198,10,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,32,Rico Dowdle,Rico Dowdle,,Trusty Veteran,Trusty Veteran,exact,Minimal Concerns,-11,34,0.1975,-2,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,33,Jonathon Brooks,Jonathon Brooks,,Breakout Candidate,Breakout Candidate,exact,Concerned,-7,32,0.2469,1,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,34,Blake Corum,Blake Corum,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,13,16,0.4938,18,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,35,J.K. Dobbins,JK Dobbins,,Trusty Veteran,Trusty Veteran,exact,Concerned,-5,30,0.2716,5,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,36,Kyle Monangai,Kyle Monangai,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,9,18,0.4444,18,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
