player_display,first,last,suffix,position,nfl_team,name_key,source,adp_value,adp_min,adp_max,adp_n,adp_rank,as_of,sleeper_raw_name_key,sleeper_match_key_name,adp_usable_for_survival
Tetairoa McMillan,Tetairoa,McMillan,,WR,CAR,tetairoa mcmillan,Sleeper,37.0,,,,37,2026-09-05,tetairoa mcmillan,tetairoa mcmillan,True
Emeka Egbuka,Emeka,Egbuka,,WR,TB,emeka egbuka,Sleeper,38.0,,,,38,2026-09-05,emeka egbuka,emeka egbuka,True
Colston Loveland,Colston,Loveland,,TE,CHI,colston loveland,Sleeper,39.0,,,,39,2026-09-05,colston loveland,colston loveland,True
Zay Flowers,Zay,Flowers,,WR,BAL,zay flowers,Sleeper,40.0,,,,40,2026-09-05,zay flowers,zay flowers,True
Cameron Skattebo,Cameron,Skattebo,,RB,NYG,cam skattebo,Sleeper,41.0,,,,41,2026-09-05,cameron skattebo,cameron skattebo,True
Bucky Irving,Bucky,Irving,,RB,TB,bucky irving,Sleeper,42.0,,,,42,2026-09-05,bucky irving,bucky irving,True
Travis Etienne,Travis,Etienne,,RB,NO,travis etienne,Sleeper,43.0,,,,43,2026-09-05,travis etienne,travis etienne,True
Jaylen Waddle,Jaylen,Waddle,,WR,DEN,jaylen waddle,Sleeper,44.0,,,,44,2026-09-05,jaylen waddle,jaylen waddle,True
Garrett Wilson,Garrett,Wilson,,WR,NYJ,garrett wilson,Sleeper,45.0,,,,45,2026-09-05,garrett wilson,garrett wilson,True
David Montgomery,David,Montgomery,,RB,HOU,david montgomery,Sleeper,46.0,,,,46,2026-09-05,david montgomery,david montgomery,True
Drake Maye,Drake,Maye,,QB,NE,drake maye,Sleeper,47.0,,,,47,2026-09-05,drake maye,drake maye,True
Tyler Warren,Tyler,Warren,,TE,IND,tyler warren,Sleeper,48.0,,,,48,2026-09-05,tyler warren,tyler warren,True
Davante Adams,Davante,Adams,,WR,LAR,davante adams,Sleeper,49.0,,,,49,2026-09-05,davante adams,davante adams,True
D'Andre Swift,D'Andre,Swift,,RB,CHI,dandre swift,Sleeper,50.0,,,,50,2026-09-05,dandre swift,dandre swift,True
Joe Burrow,Joe,Burrow,,QB,CIN,joe burrow,Sleeper,51.0,,,,51,2026-09-05,joe burrow,joe burrow,True
D.J. Moore,D.J.,Moore,,WR,BUF,dj moore,Sleeper,52.0,,,,52,2026-09-05,dj moore,dj moore,True
Quinshon Judkins,Quinshon,Judkins,,RB,CLE,quinshon judkins,Sleeper,53.0,,,,53,2026-09-05,quinshon judkins,quinshon judkins,True
Luther Burden III,Luther,Burden,III,WR,CHI,luther burden,Sleeper,54.0,,,,54,2026-09-05,luther burden,luther burden iii,True
Terry McLaurin,Terry,McLaurin,,WR,WAS,terry mclaurin,Sleeper,55.0,,,,55,2026-09-05,terry mclaurin,terry mclaurin,True
TreVeyon Henderson,TreVeyon,Henderson,,RB,NE,treveyon henderson,Sleeper,56.0,,,,56,2026-09-05,treveyon henderson,treveyon henderson,True
Sam LaPorta,Sam,LaPorta,,TE,DET,sam laporta,Sleeper,57.0,,,,57,2026-09-05,sam laporta,sam laporta,True
Jameson Williams,Jameson,Williams,,WR,DET,jameson williams,Sleeper,58.0,,,,58,2026-09-05,jameson williams,jameson williams,True
Jalen Hurts,Jalen,Hurts,,QB,PHI,jalen hurts,Sleeper,59.0,,,,59,2026-09-05,jalen hurts,jalen hurts,True
Bhayshul Tuten,Bhayshul,Tuten,,RB,JAX,bhayshul tuten,Sleeper,60.0,,,,60,2026-09-05,bhayshul tuten,bhayshul tuten,True
Mike Evans,Mike,Evans,,WR,SF,mike evans,Sleeper,61.0,,,,61,2026-09-05,mike evans,mike evans,True
Jadarian Price,Jadarian,Price,,RB,SEA,jadarian price,Sleeper,62.0,,,,62,2026-09-05,jadarian price,jadarian price,True
Tucker Kraft,Tucker,Kraft,,TE,GB,tucker kraft,Sleeper,63.0,,,,63,2026-09-05,tucker kraft,tucker kraft,True
Rome Odunze,Rome,Odunze,,WR,CHI,rome odunze,Sleeper,64.0,,,,64,2026-09-05,rome odunze,rome odunze,True
Jayden Daniels,Jayden,Daniels,,QB,WAS,jayden daniels,Sleeper,65.0,,,,65,2026-09-05,jayden daniels,jayden daniels,True
Carnell Tate,Carnell,Tate,,WR,TEN,carnell tate,Sleeper,66.0,,,,66,2026-09-05,carnell tate,carnell tate,True
Kyle Pitts,Kyle,Pitts,,TE,ATL,kyle pitts,Sleeper,67.0,,,,67,2026-09-05,kyle pitts,kyle pitts,True
Christian Watson,Christian,Watson,,WR,GB,christian watson,Sleeper,68.0,,,,68,2026-09-05,christian watson,christian watson,True
Harold Fannin Jr.,Harold,Fannin,JR,TE,CLE,harold fannin,Sleeper,69.0,,,,69,2026-09-05,harold fannin,harold fannin jr,True
Caleb Williams,Caleb,Williams,,QB,CHI,caleb williams,Sleeper,70.0,,,,70,2026-09-05,caleb williams,caleb williams,True
Jaylen Warren,Jaylen,Warren,,RB,PIT,jaylen warren,Sleeper,71.0,,,,71,2026-09-05,jaylen warren,jaylen warren,True
Parker Washington,Parker,Washington,,WR,JAX,parker washington,Sleeper,72.0,,,,72,2026-09-05,parker washington,parker washington,True
Brian Thomas Jr.,Brian,Thomas,JR,WR,JAX,brian thomas,Sleeper,73.0,,,,73,2026-09-05,brian thomas,brian thomas jr,True
D.K. Metcalf,D.K.,Metcalf,,WR,PIT,dk metcalf,Sleeper,74.0,,,,74,2026-09-05,dk metcalf,dk metcalf,True
Marvin Harrison Jr.,Marvin,Harrison,JR,WR,ARI,marvin harrison,Sleeper,75.0,,,,75,2026-09-05,marvin harrison,marvin harrison jr,True
Dak Prescott,Dak,Prescott,,QB,DAL,dak prescott,Sleeper,76.0,,,,76,2026-09-05,dak prescott,dak prescott,True
Chuba Hubbard,Chuba,Hubbard,,RB,CAR,chuba hubbard,Sleeper,77.0,,,,77,2026-09-05,chuba hubbard,chuba hubbard,True
RJ Harvey,RJ,Harvey,,RB,DEN,rj harvey,Sleeper,78.0,,,,78,2026-09-05,rj harvey,rj harvey,True
Courtland Sutton,Courtland,Sutton,,WR,DEN,courtland sutton,Sleeper,79.0,,,,79,2026-09-05,courtland sutton,courtland sutton,True
Rhamondre Stevenson,Rhamondre,Stevenson,,RB,NE,rhamondre stevenson,Sleeper,80.0,,,,80,2026-09-05,rhamondre stevenson,rhamondre stevenson,True
Justin Herbert,Justin,Herbert,,QB,LAC,justin herbert,Sleeper,81.0,,,,81,2026-09-05,justin herbert,justin herbert,True
Tony Pollard,Tony,Pollard,,RB,TEN,tony pollard,Sleeper,82.0,,,,82,2026-09-05,tony pollard,tony pollard,True
George Kittle,George,Kittle,,TE,SF,george kittle,Sleeper,83.0,,,,83,2026-09-05,george kittle,george kittle,True
Michael Wilson,Michael,Wilson,,WR,ARI,michael wilson,Sleeper,84.0,,,,84,2026-09-05,michael wilson,michael wilson,True
Rico Dowdle,Rico,Dowdle,,RB,PIT,rico dowdle,Sleeper,85.0,,,,85,2026-09-05,rico dowdle,rico dowdle,True
Dalton Kincaid,Dalton,Kincaid,,TE,BUF,dalton kincaid,Sleeper,86.0,,,,86,2026-09-05,dalton kincaid,dalton kincaid,True
Travis Kelce,Travis,Kelce,,TE,KC,travis kelce,Sleeper,88.0,,,,88,2026-09-05,travis kelce,travis kelce,True
Makai Lemon,Makai,Lemon,,WR,PHI,makai lemon,Sleeper,89.0,,,,89,2026-09-05,makai lemon,makai lemon,True
Brandon Aubrey,Brandon,Aubrey,,K,DAL,brandon aubrey,Sleeper,90.0,,,,90,2026-09-05,brandon aubrey,brandon aubrey,True
J.K. Dobbins,J.K.,Dobbins,,RB,DEN,jk dobbins,Sleeper,91.0,,,,91,2026-09-05,jk dobbins,jk dobbins,True
Chris Godwin,Chris,Godwin,,WR,TB,chris godwin,Sleeper,92.0,,,,92,2026-09-05,chris godwin,chris godwin,True
Jaxson Dart,Jaxson,Dart,,QB,NYG,jaxson dart,Sleeper,93.0,,,,93,2026-09-05,jaxson dart,jaxson dart,True
Matthew Stafford,Matthew,Stafford,,QB,LAR,matthew stafford,Sleeper,95.0,,,,95,2026-09-05,matthew stafford,matthew stafford,True
Alec Pierce,Alec,Pierce,,WR,IND,alec pierce,Sleeper,96.0,,,,96,2026-09-05,alec pierce,alec pierce,True
Jake Ferguson,Jake,Ferguson,,TE,DAL,jake ferguson,Sleeper,97.0,,,,97,2026-09-05,jake ferguson,jake ferguson,True
Jonathon Brooks,Jonathon,Brooks,,RB,CAR,jonathon brooks,Sleeper,98.0,,,,98,2026-09-05,jonathon brooks,jonathon brooks,True
Trevor Lawrence,Trevor,Lawrence,,QB,JAX,trevor lawrence,Sleeper,99.0,,,,99,2026-09-05,trevor lawrence,trevor lawrence,True
Blake Corum,Blake,Corum,,RB,LAR,blake corum,Sleeper,100.0,,,,100,2026-09-05,blake corum,blake corum,True
Jordan Addison,Jordan,Addison,,WR,MIN,jordan addison,Sleeper,101.0,,,,101,2026-09-05,jordan addison,jordan addison,True
Kyle Monangai,Kyle,Monangai,,RB,CHI,kyle monangai,Sleeper,102.0,,,,102,2026-09-05,kyle monangai,kyle monangai,True
Michael Pittman Jr.,Michael,Pittman,JR,WR,PIT,michael pittman,Sleeper,103.0,,,,103,2026-09-05,michael pittman,michael pittman jr,True
Jordyn Tyson,Jordyn,Tyson,,WR,NO,jordyn tyson,Sleeper,104.0,,,,104,2026-09-05,jordyn tyson,jordyn tyson,True
Isaiah Likely,Isaiah,Likely,,TE,NYG,isaiah likely,Sleeper,106.0,,,,106,2026-09-05,isaiah likely,isaiah likely,True
Stefon Diggs,Stefon,Diggs,,WR,WAS,stefon diggs,Sleeper,107.0,,,,107,2026-09-05,stefon diggs,stefon diggs,True
Jayden Reed,Jayden,Reed,,WR,GB,jayden reed,Sleeper,108.0,,,,108,2026-09-05,jayden reed,jayden reed,True
Jordan Mason,Jordan,Mason,,RB,MIN,jordan mason,Sleeper,109.0,,,,109,2026-09-05,jordan mason,jordan mason,True
Patrick Mahomes,Patrick,Mahomes,,QB,KC,patrick mahomes,Sleeper,110.0,,,,110,2026-09-05,patrick mahomes,patrick mahomes,True
Kenneth Gainwell,Kenneth,Gainwell,,RB,TB,kenneth gainwell,Sleeper,111.0,,,,111,2026-09-05,kenneth gainwell,kenneth gainwell,True
Quentin Johnston,Quentin,Johnston,,WR,LAC,quentin johnston,Sleeper,112.0,,,,112,2026-09-05,quentin johnston,quentin johnston,True
Josh Downs,Josh,Downs,,WR,IND,josh downs,Sleeper,113.0,,,,113,2026-09-05,josh downs,josh downs,True
Jacory Croskey-Merritt,Jacory,Croskey-Merritt,,RB,WAS,jacory croskey merritt,Sleeper,114.0,,,,114,2026-09-05,jacory croskey merritt,jacory croskey-merritt,True
Bo Nix,Bo,Nix,,QB,DEN,bo nix,Sleeper,116.0,,,,116,2026-09-05,bo nix,bo nix,True
Cameron Dicker,Cameron,Dicker,,K,LAC,cameron dicker,Sleeper,117.0,,,,117,2026-09-05,cameron dicker,cameron dicker,True
KC Concepcion,KC,Concepcion,,WR,CLE,kc concepcion,Sleeper,118.0,,,,118,2026-09-05,kc concepcion,kc concepcion,True
Wan'Dale Robinson,Wan'Dale,Robinson,,WR,TEN,wandale robinson,Sleeper,119.0,,,,119,2026-09-05,wandale robinson,wandale robinson,True
Dallas Goedert,Dallas,Goedert,,TE,PHI,dallas goedert,Sleeper,120.0,,,,120,2026-09-05,dallas goedert,dallas goedert,True
Brock Purdy,Brock,Purdy,,QB,SF,brock purdy,Sleeper,121.0,,,,121,2026-09-05,brock purdy,brock purdy,True
Jason Myers,Jason,Myers,,K,SEA,jason myers,Sleeper,123.0,,,,123,2026-09-05,jason myers,jason myers,True
Matthew Golden,Matthew,Golden,,WR,GB,matthew golden,Sleeper,124.0,,,,124,2026-09-05,matthew golden,matthew golden,True
Jakobi Meyers,Jakobi,Meyers,,WR,JAX,jakobi meyers,Sleeper,125.0,,,,125,2026-09-05,jakobi meyers,jakobi meyers,True
Aaron Jones,Aaron,Jones,,RB,MIN,aaron jones,Sleeper,126.0,,,,126,2026-09-05,aaron jones,aaron jones,True
Mark Andrews,Mark,Andrews,,TE,BAL,mark andrews,Sleeper,127.0,,,,127,2026-09-05,mark andrews,mark andrews,True
Ka'imi Fairbairn,Ka'imi,Fairbairn,,K,HOU,kaimi fairbairn,Sleeper,128.0,,,,128,2026-09-05,kaimi fairbairn,kaimi fairbairn,True
Deebo Samuel,Deebo,Samuel,,WR,SF,deebo samuel,Sleeper,129.0,,,,129,2026-09-05,deebo samuel,deebo samuel,True
Romeo Doubs,Romeo,Doubs,,WR,NE,romeo doubs,Sleeper,130.0,,,,130,2026-09-05,romeo doubs,romeo doubs,True
Jared Goff,Jared,Goff,,QB,DET,jared goff,Sleeper,131.0,,,,131,2026-09-05,jared goff,jared goff,True
Rachaad White,Rachaad,White,,RB,WAS,rachaad white,Sleeper,132.0,,,,132,2026-09-05,rachaad white,rachaad white,True
Cam Little,Cam,Little,,K,JAX,cam little,Sleeper,133.0,,,,133,2026-09-05,cam little,cam little,True
De'Zhaun Stribling,De'Zhaun,Stribling,,WR,SF,dezhaun stribling,Sleeper,136.0,,,,136,2026-09-05,dezhaun stribling,dezhaun stribling,True
Xavier Worthy,Xavier,Worthy,,WR,KC,xavier worthy,Sleeper,137.0,,,,137,2026-09-05,xavier worthy,xavier worthy,True
Chris Rodriguez,Chris,Rodriguez,,RB,JAX,chris rodriguez,Sleeper,138.0,,,,138,2026-09-05,chris rodriguez,chris rodriguez,True
Jake Bates,Jake,Bates,,K,DET,jake bates,Sleeper,139.0,,,,139,2026-09-05,jake bates,jake bates,True
Hunter Henry,Hunter,Henry,,TE,NE,hunter henry,Sleeper,140.0,,,,140,2026-09-05,hunter henry,hunter henry,True
Tyler Allgeier,Tyler,Allgeier,,RB,ARI,tyler allgeier,Sleeper,141.0,,,,141,2026-09-05,tyler allgeier,tyler allgeier,True
Khalil Shakir,Khalil,Shakir,,WR,BUF,khalil shakir,Sleeper,142.0,,,,142,2026-09-05,khalil shakir,khalil shakir,True
Baker Mayfield,Baker,Mayfield,,QB,TB,baker mayfield,Sleeper,143.0,,,,143,2026-09-05,baker mayfield,baker mayfield,True
Chris Boswell,Chris,Boswell,,K,PIT,chris boswell,Sleeper,144.0,,,,144,2026-09-05,chris boswell,chris boswell,True
Oronde Gadsden II,Oronde,Gadsden,II,TE,LAC,oronde gadsden,Sleeper,145.0,,,,145,2026-09-05,oronde gadsden,oronde gadsden ii,True
Jalen Coker,Jalen,Coker,,WR,CAR,jalen coker,Sleeper,146.0,,,,146,2026-09-05,jalen coker,jalen coker,True
Woody Marks,Woody,Marks,,RB,HOU,woody marks,Sleeper,147.0,,,,147,2026-09-05,woody marks,woody marks,True
Rashid Shaheed,Rashid,Shaheed,,WR,SEA,rashid shaheed,Sleeper,148.0,,,,148,2026-09-05,rashid shaheed,rashid shaheed,True
Zach Charbonnet,Zach,Charbonnet,,RB,SEA,zach charbonnet,Sleeper,149.0,,,,149,2026-09-05,zach charbonnet,zach charbonnet,True
Kyler Murray,Kyler,Murray,,QB,MIN,kyler murray,Sleeper,150.0,,,,150,2026-09-05,kyler murray,kyler murray,True
Jordan Love,Jordan,Love,,QB,GB,jordan love,Sleeper,152.0,,,,152,2026-09-05,jordan love,jordan love,True
Harrison Mevis,Harrison,Mevis,,K,LAR,harrison mevis,Sleeper,154.0,,,,154,2026-09-05,harrison mevis,harrison mevis,True
Brenton Strange,Brenton,Strange,,TE,JAX,brenton strange,Sleeper,155.0,,,,155,2026-09-05,brenton strange,brenton strange,True
MarShawn Lloyd,MarShawn,Lloyd,,RB,GB,marshawn lloyd,Sleeper,158.0,,,,158,2026-09-05,marshawn lloyd,marshawn lloyd,True
Mike Washington Jr.,Mike,Washington,JR,RB,LV,mike washington,Sleeper,159.0,,,,159,2026-09-05,mike washington,mike washington jr,True
Ja'Kobi Lane,Ja'Kobi,Lane,,WR,BAL,jakobi lane,Sleeper,160.0,,,,160,2026-09-05,jakobi lane,jakobi lane,True
Harrison Butker,Harrison,Butker,,K,KC,harrison butker,Sleeper,161.0,,,,161,2026-09-05,harrison butker,harrison butker,True
Sam Darnold,Sam,Darnold,,QB,SEA,sam darnold,Sleeper,162.0,,,,162,2026-09-05,sam darnold,sam darnold,True
Tyjae Spears,Tyjae,Spears,,RB,TEN,tyjae spears,Sleeper,163.0,,,,163,2026-09-05,tyjae spears,tyjae spears,True
T.J. Hockenson,T.J.,Hockenson,,TE,MIN,tj hockenson,Sleeper,164.0,,,,164,2026-09-05,tj hockenson,tj hockenson,True
Jonah Coleman,Jonah,Coleman,,RB,DEN,jonah coleman,Sleeper,165.0,,,,165,2026-09-05,jonah coleman,jonah coleman,True
Alvin Kamara,Alvin,Kamara,,RB,NO,alvin kamara,Sleeper,166.0,,,,166,2026-09-05,alvin kamara,alvin kamara,True
Travis Hunter,Travis,Hunter,,WR,JAX,travis hunter,Sleeper,168.0,,,,168,2026-09-05,travis hunter,travis hunter,True
Will Reichard,Will,Reichard,,K,MIN,will reichard,Sleeper,169.0,,,,169,2026-09-05,will reichard,will reichard,True
Denzel Boston,Denzel,Boston,,WR,CLE,denzel boston,Sleeper,170.0,,,,170,2026-09-05,denzel boston,denzel boston,True
Brian Robinson Jr.,Brian,Robinson,JR,RB,ATL,brian robinson,Sleeper,171.0,,,,171,2026-09-05,brian robinson,brian robinson jr,True
Kenyon Sadiq,Kenyon,Sadiq,,TE,NYJ,kenyon sadiq,Sleeper,172.0,,,,172,2026-09-05,kenyon sadiq,kenyon sadiq,True
Tyrone Tracy Jr.,Tyrone,Tracy,JR,RB,NYG,tyrone tracy,Sleeper,173.0,,,,173,2026-09-05,tyrone tracy,tyrone tracy jr,True
Andres Borregales,Andres,Borregales,,K,NE,andres borregales,Sleeper,174.0,,,,174,2026-09-05,andres borregales,andres borregales,True
Malik Washington,Malik,Washington,,WR,MIA,malik washington,Sleeper,175.0,,,,175,2026-09-05,malik washington,malik washington,True
Cyrus Allen,Cyrus,Allen,,WR,KC,cyrus allen,Sleeper,176.0,,,,176,2026-09-05,cyrus allen,cyrus allen,True
Tyler Loop,Tyler,Loop,,K,BAL,tyler loop,Sleeper,177.0,,,,177,2026-09-05,tyler loop,tyler loop,True
Tank Bigsby,Tank,Bigsby,,RB,PHI,tank bigsby,Sleeper,178.0,,,,178,2026-09-05,tank bigsby,tank bigsby,True
Juwan Johnson,Juwan,Johnson,,TE,NO,juwan johnson,Sleeper,179.0,,,,179,2026-09-05,juwan johnson,juwan johnson,True
Evan McPherson,Evan,McPherson,,K,CIN,evan mcpherson,Sleeper,180.0,,,,180,2026-09-05,evan mcpherson,evan mcpherson,True
Dalton Schultz,Dalton,Schultz,,TE,HOU,dalton schultz,Sleeper,181.0,,,,181,2026-09-05,dalton schultz,dalton schultz,True
Jalen Nailor,Jalen,Nailor,,WR,LV,jalen nailor,Sleeper,182.0,,,,182,2026-09-05,jalen nailor,jalen nailor,True
AJ Barner,AJ,Barner,,TE,SEA,aj barner,Sleeper,183.0,,,,183,2026-09-05,aj barner,aj barner,True
Keaton Mitchell,Keaton,Mitchell,,RB,LAC,keaton mitchell,Sleeper,184.0,,,,184,2026-09-05,keaton mitchell,keaton mitchell,True
Jerry Jeudy,Jerry,Jeudy,,WR,CLE,jerry jeudy,Sleeper,185.0,,,,185,2026-09-05,jerry jeudy,jerry jeudy,True
Fernando Mendoza,Fernando,Mendoza,,QB,LV,fernando mendoza,Sleeper,186.0,,,,186,2026-09-05,fernando mendoza,fernando mendoza,True
Tyler Shough,Tyler,Shough,,QB,NO,tyler shough,Sleeper,187.0,,,,187,2026-09-05,tyler shough,tyler shough,True
Nathaniel Dell,Nathaniel,Dell,,WR,HOU,nathaniel dell,Sleeper,188.0,,,,188,2026-09-05,nathaniel dell,nathaniel dell,True
Dylan Sampson,Dylan,Sampson,,RB,CLE,dylan sampson,Sleeper,189.0,,,,189,2026-09-05,dylan sampson,dylan sampson,True
Isiah Pacheco,Isiah,Pacheco,,RB,DET,isiah pacheco,Sleeper,190.0,,,,190,2026-09-05,isiah pacheco,isiah pacheco,True
Chigoziem Okonkwo,Chigoziem,Okonkwo,,TE,WAS,chigoziem okonkwo,Sleeper,191.0,,,,191,2026-09-05,chigoziem okonkwo,chigoziem okonkwo,True
Eddy Pineiro,Eddy,Pineiro,,K,SF,eddy pineiro,Sleeper,192.0,,,,192,2026-09-05,eddy pineiro,eddy pineiro,True
Omar Cooper Jr.,Omar,Cooper,JR,WR,NYJ,omar cooper,Sleeper,193.0,,,,193,2026-09-05,omar cooper,omar cooper jr,True
Kaelon Black,Kaelon,Black,,RB,SF,kaelon black,Sleeper,194.0,,,,194,2026-09-05,kaelon black,kaelon black,True
Trey Smack,Trey,Smack,,K,GB,trey smack,Sleeper,195.0,,,,195,2026-09-05,trey smack,trey smack,True
Caleb Douglas,Caleb,Douglas,,WR,MIA,caleb douglas,Sleeper,196.0,,,,196,2026-09-05,caleb douglas,caleb douglas,True
Kayshon Boutte,Kayshon,Boutte,,WR,HOU,kayshon boutte,Sleeper,197.0,,,,197,2026-09-05,kayshon boutte,kayshon boutte,True
Cooper Kupp,Cooper,Kupp,,WR,SEA,cooper kupp,Sleeper,198.0,,,,198,2026-09-05,cooper kupp,cooper kupp,True
Keenan Allen,Keenan,Allen,,WR,IND,keenan allen,Sleeper,199.0,,,,199,2026-09-05,keenan allen,keenan allen,True
Tre Tucker,Tre,Tucker,,WR,LV,tre tucker,Sleeper,201.0,,,,201,2026-09-05,tre tucker,tre tucker,True
Daniel Jones,Daniel,Jones,,QB,IND,daniel jones,Sleeper,202.0,,,,202,2026-09-05,daniel jones,daniel jones,True
Braelon Allen,Braelon,Allen,,RB,NYJ,braelon allen,Sleeper,203.0,,,,203,2026-09-05,braelon allen,braelon allen,True
C.J. Stroud,C.J.,Stroud,,QB,HOU,cj stroud,Sleeper,205.0,,,,205,2026-09-05,cj stroud,cj stroud,True
Terrance Ferguson,Terrance,Ferguson,,TE,LAR,terrance ferguson,Sleeper,206.0,,,,206,2026-09-05,terrance ferguson,terrance ferguson,True
Emmett Johnson,Emmett,Johnson,,RB,KC,emmett johnson,Sleeper,207.0,,,,207,2026-09-05,emmett johnson,emmett johnson,True
Jalen McMillan,Jalen,McMillan,,WR,TB,jalen mcmillan,Sleeper,208.0,,,,208,2026-09-05,jalen mcmillan,jalen mcmillan,True
Malik Willis,Malik,Willis,,QB,MIA,malik willis,Sleeper,209.0,,,,209,2026-09-05,malik willis,malik willis,True
