ADP Rank,ADP,Player,Team,Pos,Pos Rank,Match Key,Source,Format,Date Pulled
69,69.0,Harold Fannin Jr.,CLE,TE,TE8,harold fannin jr|TE,Sleeper,PPR,2026-09-05
70,70.0,Caleb Williams,CHI,QB,QB7,caleb williams|QB,Sleeper,PPR,2026-09-05
71,71.0,Jaylen Warren,PIT,RB,RB26,jaylen warren|RB,Sleeper,PPR,2026-09-05
72,72.0,Parker Washington,JAC,WR,WR31,parker washington|WR,Sleeper,PPR,2026-09-05
73,73.0,Brian Thomas Jr.,JAC,WR,WR32,brian thomas jr|WR,Sleeper,PPR,2026-09-05
74,74.0,D.K. Metcalf,PIT,WR,WR33,dk metcalf|WR,Sleeper,PPR,2026-09-05
75,75.0,Marvin Harrison Jr.,ARI,WR,WR34,marvin harrison jr|WR,Sleeper,PPR,2026-09-05
76,76.0,Dak Prescott,DAL,QB,QB8,dak prescott|QB,Sleeper,PPR,2026-09-05
77,77.0,Chuba Hubbard,CAR,RB,RB27,chuba hubbard|RB,Sleeper,PPR,2026-09-05
78,78.0,RJ Harvey,DEN,RB,RB28,rj harvey|RB,Sleeper,PPR,2026-09-05
79,79.0,Courtland Sutton,DEN,WR,WR35,courtland sutton|WR,Sleeper,PPR,2026-09-05
80,80.0,Rhamondre Stevenson,NE,RB,RB29,rhamondre stevenson|RB,Sleeper,PPR,2026-09-05
81,81.0,Justin Herbert,LAC,QB,QB9,justin herbert|QB,Sleeper,PPR,2026-09-05
82,82.0,Tony Pollard,TEN,RB,RB30,tony pollard|RB,Sleeper,PPR,2026-09-05
83,83.0,George Kittle,SF,TE,TE9,george kittle|TE,Sleeper,PPR,2026-09-05
84,84.0,Michael Wilson,ARI,WR,WR36,michael wilson|WR,Sleeper,PPR,2026-09-05
85,85.0,Rico Dowdle,PIT,RB,RB31,rico dowdle|RB,Sleeper,PPR,2026-09-05
86,86.0,Dalton Kincaid,BUF,TE,TE10,dalton kincaid|TE,Sleeper,PPR,2026-09-05
87,87.0,Los Angeles Rams,LAR,DEF,DEF1,los angeles rams|DEF,Sleeper,PPR,2026-09-05
88,88.0,Travis Kelce,KC,TE,TE11,travis kelce|TE,Sleeper,PPR,2026-09-05
89,89.0,Makai Lemon,PHI,WR,WR37,makai lemon|WR,Sleeper,PPR,2026-09-05
90,90.0,Brandon Aubrey,DAL,K,K1,brandon aubrey|K,Sleeper,PPR,2026-09-05
91,91.0,J.K. Dobbins,DEN,RB,RB32,jk dobbins|RB,Sleeper,PPR,2026-09-05
92,92.0,Chris Godwin,TB,WR,WR38,chris godwin|WR,Sleeper,PPR,2026-09-05
93,93.0,Jaxson Dart,NYG,QB,QB10,jaxson dart|QB,Sleeper,PPR,2026-09-05
94,94.0,Houston Texans,HOU,DEF,DEF2,houston texans|DEF,Sleeper,PPR,2026-09-05
95,95.0,Matthew Stafford,LAR,QB,QB11,matthew stafford|QB,Sleeper,PPR,2026-09-05
96,96.0,Alec Pierce,IND,WR,WR39,alec pierce|WR,Sleeper,PPR,2026-09-05
97,97.0,Jake Ferguson,DAL,TE,TE12,jake ferguson|TE,Sleeper,PPR,2026-09-05
98,98.0,Jonathon Brooks,CAR,RB,RB33,jonathon brooks|RB,Sleeper,PPR,2026-09-05
99,99.0,Trevor Lawrence,JAC,QB,QB12,trevor lawrence|QB,Sleeper,PPR,2026-09-05
100,100.0,Blake Corum,LAR,RB,RB34,blake corum|RB,Sleeper,PPR,2026-09-05
101,101.0,Jordan Addison,MIN,WR,WR40,jordan addison|WR,Sleeper,PPR,2026-09-05
102,102.0,Kyle Monangai,CHI,RB,RB35,kyle monangai|RB,Sleeper,PPR,2026-09-05
103,103.0,Michael Pittman Jr.,PIT,WR,WR41,michael pittman jr|WR,Sleeper,PPR,2026-09-05
104,104.0,Jordyn Tyson,NO,WR,WR42,jordyn tyson|WR,Sleeper,PPR,2026-09-05
105,105.0,Seattle Seahawks,SEA,DEF,DEF3,seattle seahawks|DEF,Sleeper,PPR,2026-09-05
106,106.0,Isaiah Likely,NYG,TE,TE13,isaiah likely|TE,Sleeper,PPR,2026-09-05
107,107.0,Stefon Diggs,WAS,WR,WR43,stefon diggs|WR,Sleeper,PPR,2026-09-05
108,108.0,Jayden Reed,GB,WR,WR44,jayden reed|WR,Sleeper,PPR,2026-09-05
109,109.0,Jordan Mason,MIN,RB,RB36,jordan mason|RB,Sleeper,PPR,2026-09-05
110,110.0,Patrick Mahomes,KC,QB,QB13,patrick mahomes|QB,Sleeper,PPR,2026-09-05
111,111.0,Kenneth Gainwell,TB,RB,RB37,kenneth gainwell|RB,Sleeper,PPR,2026-09-05
112,112.0,Quentin Johnston,LAC,WR,WR45,quentin johnston|WR,Sleeper,PPR,2026-09-05
113,113.0,Josh Downs,IND,WR,WR46,josh downs|WR,Sleeper,PPR,2026-09-05
114,114.0,Jacory Croskey-Merritt,WAS,RB,RB38,jacory croskey-merritt|RB,Sleeper,PPR,2026-09-05
115,115.0,Denver Broncos,DEN,DEF,DEF4,denver broncos|DEF,Sleeper,PPR,2026-09-05
116,116.0,Bo Nix,DEN,QB,QB14,bo nix|QB,Sleeper,PPR,2026-09-05
117,117.0,Cameron Dicker,LAC,K,K2,cameron dicker|K,Sleeper,PPR,2026-09-05
118,118.0,KC Concepcion,CLE,WR,WR47,kc concepcion|WR,Sleeper,PPR,2026-09-05
119,119.0,Wan'Dale Robinson,TEN,WR,WR48,wandale robinson|WR,Sleeper,PPR,2026-09-05
120,120.0,Dallas Goedert,PHI,TE,TE14,dallas goedert|TE,Sleeper,PPR,2026-09-05
121,121.0,Brock Purdy,SF,QB,QB15,brock purdy|QB,Sleeper,PPR,2026-09-05
122,122.0,Philadelphia Eagles,PHI,DEF,DEF5,philadelphia eagles|DEF,Sleeper,PPR,2026-09-05
123,123.0,Jason Myers,SEA,K,K3,jason myers|K,Sleeper,PPR,2026-09-05
124,124.0,Matthew Golden,GB,WR,WR49,matthew golden|WR,Sleeper,PPR,2026-09-05
125,125.0,Jakobi Meyers,JAC,WR,WR50,jakobi meyers|WR,Sleeper,PPR,2026-09-05
126,126.0,Aaron Jones,MIN,RB,RB39,aaron jones|RB,Sleeper,PPR,2026-09-05
127,127.0,Mark Andrews,BAL,TE,TE15,mark andrews|TE,Sleeper,PPR,2026-09-05
128,128.0,Ka'imi Fairbairn,HOU,K,K4,kaimi fairbairn|K,Sleeper,PPR,2026-09-05
129,129.0,Deebo Samuel,SF,WR,WR51,deebo samuel|WR,Sleeper,PPR,2026-09-05
130,130.0,Romeo Doubs,NE,WR,WR52,romeo doubs|WR,Sleeper,PPR,2026-09-05
131,131.0,Jared Goff,DET,QB,QB16,jared goff|QB,Sleeper,PPR,2026-09-05
132,132.0,Rachaad White,WAS,RB,RB40,rachaad white|RB,Sleeper,PPR,2026-09-05
133,133.0,Cam Little,JAC,K,K5,cam little|K,Sleeper,PPR,2026-09-05
134,134.0,Baltimore Ravens,BAL,DEF,DEF6,baltimore ravens|DEF,Sleeper,PPR,2026-09-05
135,135.0,New England Patriots,NE,DEF,DEF7,new england patriots|DEF,Sleeper,PPR,2026-09-05
136,136.0,De'Zhaun Stribling,SF,WR,WR53,dezhaun stribling|WR,Sleeper,PPR,2026-09-05
137,137.0,Xavier Worthy,KC,WR,WR54,xavier worthy|WR,Sleeper,PPR,2026-09-05
138,138.0,Chris Rodriguez,JAC,RB,RB41,chris rodriguez|RB,Sleeper,PPR,2026-09-05
139,139.0,Jake Bates,DET,K,K6,jake bates|K,Sleeper,PPR,2026-09-05
140,140.0,Hunter Henry,NE,TE,TE16,hunter henry|TE,Sleeper,PPR,2026-09-05
141,141.0,Tyler Allgeier,ARI,RB,RB42,tyler allgeier|RB,Sleeper,PPR,2026-09-05
142,142.0,Khalil Shakir,BUF,WR,WR55,khalil shakir|WR,Sleeper,PPR,2026-09-05
143,143.0,Baker Mayfield,TB,QB,QB17,baker mayfield|QB,Sleeper,PPR,2026-09-05
144,144.0,Chris Boswell,PIT,K,K7,chris boswell|K,Sleeper,PPR,2026-09-05
145,145.0,Oronde Gadsden II,LAC,TE,TE17,oronde gadsden ii|TE,Sleeper,PPR,2026-09-05
146,146.0,Jalen Coker,CAR,WR,WR56,jalen coker|WR,Sleeper,PPR,2026-09-05
147,147.0,Woody Marks,HOU,RB,RB43,woody marks|RB,Sleeper,PPR,2026-09-05
148,148.0,Rashid Shaheed,SEA,WR,WR57,rashid shaheed|WR,Sleeper,PPR,2026-09-05
149,149.0,Zach Charbonnet,SEA,RB,RB44,zach charbonnet|RB,Sleeper,PPR,2026-09-05
150,150.0,Kyler Murray,MIN,QB,QB18,kyler murray|QB,Sleeper,PPR,2026-09-05
151,151.0,Pittsburgh Steelers,PIT,DEF,DEF8,pittsburgh steelers|DEF,Sleeper,PPR,2026-09-05
152,152.0,Jordan Love,GB,QB,QB19,jordan love|QB,Sleeper,PPR,2026-09-05
153,153.0,Minnesota Vikings,MIN,DEF,DEF9,minnesota vikings|DEF,Sleeper,PPR,2026-09-05
154,154.0,Harrison Mevis,LAR,K,K8,harrison mevis|K,Sleeper,PPR,2026-09-05
155,155.0,Brenton Strange,JAC,TE,TE18,brenton strange|TE,Sleeper,PPR,2026-09-05
156,156.0,Jacksonville Jaguars,JAC,DEF,DEF10,jacksonville jaguars|DEF,Sleeper,PPR,2026-09-05
157,157.0,Detroit Lions,DET,DEF,DEF11,detroit lions|DEF,Sleeper,PPR,2026-09-05
158,158.0,MarShawn Lloyd,GB,RB,RB45,marshawn lloyd|RB,Sleeper,PPR,2026-09-05
159,159.0,Mike Washington Jr.,LVR,RB,RB46,mike washington jr|RB,Sleeper,PPR,2026-09-05
160,160.0,Ja'Kobi Lane,BAL,WR,WR58,jakobi lane|WR,Sleeper,PPR,2026-09-05
161,161.0,Harrison Butker,KC,K,K9,harrison butker|K,Sleeper,PPR,2026-09-05
162,162.0,Sam Darnold,SEA,QB,QB20,sam darnold|QB,Sleeper,PPR,2026-09-05
163,163.0,Tyjae Spears,TEN,RB,RB47,tyjae spears|RB,Sleeper,PPR,2026-09-05
164,164.0,T.J. Hockenson,MIN,TE,TE19,tj hockenson|TE,Sleeper,PPR,2026-09-05
165,165.0,Jonah Coleman,DEN,RB,RB48,jonah coleman|RB,Sleeper,PPR,2026-09-05
166,166.0,Alvin Kamara,NO,RB,RB49,alvin kamara|RB,Sleeper,PPR,2026-09-05
167,167.0,Los Angeles Chargers,LAC,DEF,DEF12,los angeles chargers|DEF,Sleeper,PPR,2026-09-05
168,168.0,Travis Hunter,JAC,WR,WR59,travis hunter|WR,Sleeper,PPR,2026-09-05
169,169.0,Will Reichard,MIN,K,K10,will reichard|K,Sleeper,PPR,2026-09-05
170,170.0,Denzel Boston,CLE,WR,WR60,denzel boston|WR,Sleeper,PPR,2026-09-05
171,171.0,Brian Robinson Jr.,ATL,RB,RB50,brian robinson jr|RB,Sleeper,PPR,2026-09-05
172,172.0,Kenyon Sadiq,NYJ,TE,TE20,kenyon sadiq|TE,Sleeper,PPR,2026-09-05
173,173.0,Tyrone Tracy Jr.,NYG,RB,RB51,tyrone tracy jr|RB,Sleeper,PPR,2026-09-05
174,174.0,Andres Borregales,NE,K,K11,andres borregales|K,Sleeper,PPR,2026-09-05
175,175.0,Malik Washington,MIA,WR,WR61,malik washington|WR,Sleeper,PPR,2026-09-05
176,176.0,Cyrus Allen,KC,WR,WR62,cyrus allen|WR,Sleeper,PPR,2026-09-05
177,177.0,Tyler Loop,BAL,K,K12,tyler loop|K,Sleeper,PPR,2026-09-05
178,178.0,Tank Bigsby,PHI,RB,RB52,tank bigsby|RB,Sleeper,PPR,2026-09-05
179,179.0,Juwan Johnson,NO,TE,TE21,juwan johnson|TE,Sleeper,PPR,2026-09-05
180,180.0,Evan McPherson,CIN,K,K13,evan mcpherson|K,Sleeper,PPR,2026-09-05
181,181.0,Dalton Schultz,HOU,TE,TE22,dalton schultz|TE,Sleeper,PPR,2026-09-05
182,182.0,Jalen Nailor,LVR,WR,WR63,jalen nailor|WR,Sleeper,PPR,2026-09-05
183,183.0,AJ Barner,SEA,TE,TE23,aj barner|TE,Sleeper,PPR,2026-09-05
184,184.0,Keaton Mitchell,LAC,RB,RB53,keaton mitchell|RB,Sleeper,PPR,2026-09-05
185,185.0,Jerry Jeudy,CLE,WR,WR64,jerry jeudy|WR,Sleeper,PPR,2026-09-05
186,186.0,Fernando Mendoza,LVR,QB,QB21,fernando mendoza|QB,Sleeper,PPR,2026-09-05
187,187.0,Tyler Shough,NO,QB,QB22,tyler shough|QB,Sleeper,PPR,2026-09-05
188,188.0,Nathaniel Dell,HOU,WR,WR65,nathaniel dell|WR,Sleeper,PPR,2026-09-05
189,189.0,Dylan Sampson,CLE,RB,RB54,dylan sampson|RB,Sleeper,PPR,2026-09-05
190,190.0,Isiah Pacheco,DET,RB,RB55,isiah pacheco|RB,Sleeper,PPR,2026-09-05
191,191.0,Chigoziem Okonkwo,WAS,TE,TE24,chigoziem okonkwo|TE,Sleeper,PPR,2026-09-05
192,192.0,Eddy Pineiro,SF,K,K14,eddy pineiro|K,Sleeper,PPR,2026-09-05
193,193.0,Omar Cooper Jr.,NYJ,WR,WR66,omar cooper jr|WR,Sleeper,PPR,2026-09-05
194,194.0,Kaelon Black,SF,RB,RB56,kaelon black|RB,Sleeper,PPR,2026-09-05
195,195.0,Trey Smack,GB,K,K15,trey smack|K,Sleeper,PPR,2026-09-05
196,196.0,Caleb Douglas,MIA,WR,WR67,caleb douglas|WR,Sleeper,PPR,2026-09-05
197,197.0,Kayshon Boutte,HOU,WR,WR68,kayshon boutte|WR,Sleeper,PPR,2026-09-05
198,198.0,Cooper Kupp,SEA,WR,WR69,cooper kupp|WR,Sleeper,PPR,2026-09-05
199,199.0,Keenan Allen,IND,WR,WR70,keenan allen|WR,Sleeper,PPR,2026-09-05
200,200.0,Dallas Cowboys,DAL,DEF,DEF13,dallas cowboys|DEF,Sleeper,PPR,2026-09-05
201,201.0,Tre Tucker,LVR,WR,WR71,tre tucker|WR,Sleeper,PPR,2026-09-05
202,202.0,Daniel Jones,IND,QB,QB23,daniel jones|QB,Sleeper,PPR,2026-09-05
203,203.0,Braelon Allen,NYJ,RB,RB57,braelon allen|RB,Sleeper,PPR,2026-09-05
204,204.0,Green Bay Packers,GB,DEF,DEF14,green bay packers|DEF,Sleeper,PPR,2026-09-05
205,205.0,C.J. Stroud,HOU,QB,QB24,cj stroud|QB,Sleeper,PPR,2026-09-05
206,206.0,Terrance Ferguson,LAR,TE,TE25,terrance ferguson|TE,Sleeper,PPR,2026-09-05
207,207.0,Emmett Johnson,KC,RB,RB58,emmett johnson|RB,Sleeper,PPR,2026-09-05
208,208.0,Jalen McMillan,TB,WR,WR72,jalen mcmillan|WR,Sleeper,PPR,2026-09-05
209,209.0,Malik Willis,MIA,QB,QB25,malik willis|QB,Sleeper,PPR,2026-09-05
210,210.0,Zachariah Branch,ATL,WR,WR73,zachariah branch|WR,Sleeper,PPR,2026-09-05
211,211.0,Devin Neal,UNS,RB,RB59,devin neal|RB,Sleeper,PPR,2026-09-05
212,212.0,Nicholas Singleton,TEN,RB,RB60,nicholas singleton|RB,Sleeper,PPR,2026-09-05
213,213.0,Jauan Jennings,MIN,WR,WR74,jauan jennings|WR,Sleeper,PPR,2026-09-05
214,214.0,Jaylin Noel,HOU,WR,WR75,jaylin noel|WR,Sleeper,PPR,2026-09-05
215,215.0,San Francisco 49ers,SF,DEF,DEF15,san francisco 49ers|DEF,Sleeper,PPR,2026-09-05
216,216.0,Kaleb Johnson,GB,RB,RB61,kaleb johnson|RB,Sleeper,PPR,2026-09-05
217,217.0,Buffalo Bills,BUF,DEF,DEF16,buffalo bills|DEF,Sleeper,PPR,2026-09-05
218,218.0,Malachi Fields,NYG,WR,WR76,malachi fields|WR,Sleeper,PPR,2026-09-05
219,219.0,Indianapolis Colts,IND,DEF,DEF17,indianapolis colts|DEF,Sleeper,PPR,2026-09-05
220,220.0,Jake Elliott,PHI,K,K16,jake elliott|K,Sleeper,PPR,2026-09-05
221,221.0,Marvin Mims Jr.,DEN,WR,WR77,marvin mims jr|WR,Sleeper,PPR,2026-09-05
222,222.0,Najee Harris,NYG,RB,RB62,najee harris|RB,Sleeper,PPR,2026-09-05
223,223.0,Chase McLaughlin,TB,K,K17,chase mclaughlin|K,Sleeper,PPR,2026-09-05
224,224.0,Chicago Bears,CHI,DEF,DEF18,chicago bears|DEF,Sleeper,PPR,2026-09-05
225,225.0,Kyle Williams,NE,WR,WR78,kyle williams|WR,Sleeper,PPR,2026-09-05
226,226.0,Ray Davis,BUF,RB,RB63,ray davis|RB,Sleeper,PPR,2026-09-05
227,227.0,David Njoku,LAC,TE,TE26,david njoku|TE,Sleeper,PPR,2026-09-05
228,228.0,J.J. McCarthy,MIN,QB,QB26,jj mccarthy|QB,Sleeper,PPR,2026-09-05
229,229.0,Mason Taylor,NYJ,TE,TE27,mason taylor|TE,Sleeper,PPR,2026-09-05
230,230.0,Kendre Miller,NO,RB,RB64,kendre miller|RB,Sleeper,PPR,2026-09-05
231,231.0,Kansas City Chiefs,KC,DEF,DEF19,kansas city chiefs|DEF,Sleeper,PPR,2026-09-05
232,232.0,Bryce Young,CAR,QB,QB27,bryce young|QB,Sleeper,PPR,2026-09-05
233,233.0,Brashard Smith,KC,RB,RB65,brashard smith|RB,Sleeper,PPR,2026-09-05
234,234.0,Tyreek Hill,UNS,WR,WR79,tyreek hill|WR,Sleeper,PPR,2026-09-05
235,235.0,Pat Bryant,DEN,WR,WR80,pat bryant|WR,Sleeper,PPR,2026-09-05
236,236.0,Joe Mixon,UNS,RB,RB66,joe mixon|RB,Sleeper,PPR,2026-09-05
237,237.0,Isaac TeSlaa,DET,WR,WR81,isaac teslaa|WR,Sleeper,PPR,2026-09-05
238,238.0,Cairo Santos,CHI,K,K18,cairo santos|K,Sleeper,PPR,2026-09-05
239,239.0,Michael Penix Jr.,ATL,QB,QB28,michael penix jr|QB,Sleeper,PPR,2026-09-05
240,240.0,Atlanta Falcons,ATL,DEF,DEF20,atlanta falcons|DEF,Sleeper,PPR,2026-09-05
241,241.0,Jaydon Blue,PHI,RB,RB67,jaydon blue|RB,Sleeper,PPR,2026-09-05
242,242.0,Tory Horton,SEA,WR,WR82,tory horton|WR,Sleeper,PPR,2026-09-05
243,243.0,Aaron Rodgers,PIT,QB,QB29,aaron rodgers|QB,Sleeper,PPR,2026-09-05
244,244.0,Cameron Ward,TEN,QB,QB30,cameron ward|QB,Sleeper,PPR,2026-09-05
245,245.0,Elijah Sarratt,BAL,WR,WR83,elijah sarratt|WR,Sleeper,PPR,2026-09-05
246,246.0,Chimere Dike,TEN,WR,WR84,chimere dike|WR,Sleeper,PPR,2026-09-05
247,247.0,Greg Dulcich,MIA,TE,TE28,greg dulcich|TE,Sleeper,PPR,2026-09-05
248,248.0,Germie Bernard,PIT,WR,WR85,germie bernard|WR,Sleeper,PPR,2026-09-05
249,249.0,James Conner,ARI,RB,RB68,james conner|RB,Sleeper,PPR,2026-09-05
250,250.0,Tre Harris,LAC,WR,WR86,tre harris|WR,Sleeper,PPR,2026-09-05
251,251.0,Ryan Flournoy,DAL,WR,WR87,ryan flournoy|WR,Sleeper,PPR,2026-09-05
252,253.0,Adonai Mitchell,NYJ,WR,WR88,adonai mitchell|WR,Sleeper,PPR,2026-09-05
253,256.0,Theo Johnson,NYG,TE,TE29,theo johnson|TE,Sleeper,PPR,2026-09-05
254,257.0,Tampa Bay Buccaneers,TB,DEF,DEF21,tampa bay buccaneers|DEF,Sleeper,PPR,2026-09-05
255,258.0,Rashod Bateman,BAL,WR,WR89,rashod bateman|WR,Sleeper,PPR,2026-09-05
256,260.0,Cade Otton,TB,TE,TE30,cade otton|TE,Sleeper,PPR,2026-09-05
257,261.0,Gunnar Helm,TEN,TE,TE31,gunnar helm|TE,Sleeper,PPR,2026-09-05
258,263.0,Keon Coleman,BUF,WR,WR90,keon coleman|WR,Sleeper,PPR,2026-09-05
259,265.0,Antonio Williams,WAS,WR,WR91,antonio williams|WR,Sleeper,PPR,2026-09-05
260,268.0,Shedeur Sanders,CLE,QB,QB31,shedeur sanders|QB,Sleeper,PPR,2026-09-05
261,269.0,Tua Tagovailoa,ATL,QB,QB32,tua tagovailoa|QB,Sleeper,PPR,2026-09-05
262,270.0,Anthony Miller,BAL,WR,WR92,anthony miller|WR,Sleeper,PPR,2026-09-05
263,272.0,Audric Estime,NO,RB,RB69,audric estime|RB,Sleeper,PPR,2026-09-05
264,273.0,Kimani Vidal,LAC,RB,RB70,kimani vidal|RB,Sleeper,PPR,2026-09-05
