ADP Rank,ADP,Player,Team,Pos,Pos Rank,Match Key,Source,Format,Date Pulled
25,25,Nico Collins,HOU,WR,WR10,nico collins|WR,Sleeper,PPR,2026-08-29
26,26,Jeremiyah Love,ARI,RB,RB13,jeremiyah love|RB,Sleeper,PPR,2026-08-29
27,27,Malik Nabers,NYG,WR,WR11,malik nabers|WR,Sleeper,PPR,2026-08-29
28,28,Rashee Rice,KC,WR,WR12,rashee rice|WR,Sleeper,PPR,2026-08-29
29,29,Kyren Williams,LAR,RB,RB14,kyren williams|RB,Sleeper,PPR,2026-08-29
30,30,Chris Olave,NO,WR,WR13,chris olave|WR,Sleeper,PPR,2026-08-29
31,31,Josh Jacobs,GB,RB,RB15,josh jacobs|RB,Sleeper,PPR,2026-08-29
32,32,Lamar Jackson,BAL,QB,QB2,lamar jackson|QB,Sleeper,PPR,2026-08-29
33,33,Breece Hall,NYJ,RB,RB16,breece hall|RB,Sleeper,PPR,2026-08-29
34,34,Tee Higgins,CIN,WR,WR14,tee higgins|WR,Sleeper,PPR,2026-08-29
35,35,DeVonta Smith,PHI,WR,WR15,devonta smith|WR,Sleeper,PPR,2026-08-29
36,36,Javonte Williams,DAL,RB,RB17,javonte williams|RB,Sleeper,PPR,2026-08-29
37,37,Tetairoa McMillan,CAR,WR,WR16,tetairoa mcmillan|WR,Sleeper,PPR,2026-08-29
38,38,Ladd McConkey,LAC,WR,WR17,ladd mcconkey|WR,Sleeper,PPR,2026-08-29
39,39,Emeka Egbuka,TB,WR,WR18,emeka egbuka|WR,Sleeper,PPR,2026-08-29
40,40,Colston Loveland,CHI,TE,TE3,colston loveland|TE,Sleeper,PPR,2026-08-29
41,41,Zay Flowers,BAL,WR,WR19,zay flowers|WR,Sleeper,PPR,2026-08-29
42,42,Bucky Irving,TB,RB,RB18,bucky irving|RB,Sleeper,PPR,2026-08-29
43,43,Cameron Skattebo,NYG,RB,RB19,cameron skattebo|RB,Sleeper,PPR,2026-08-29
44,44,Travis Etienne,NO,RB,RB20,travis etienne|RB,Sleeper,PPR,2026-08-29
45,45,Garrett Wilson,NYJ,WR,WR20,garrett wilson|WR,Sleeper,PPR,2026-08-29
46,46,Jaylen Waddle,DEN,WR,WR21,jaylen waddle|WR,Sleeper,PPR,2026-08-29
47,47,Tyler Warren,IND,TE,TE4,tyler warren|TE,Sleeper,PPR,2026-08-29
48,48,Drake Maye,NE,QB,QB3,drake maye|QB,Sleeper,PPR,2026-08-29
49,49,David Montgomery,HOU,RB,RB21,david montgomery|RB,Sleeper,PPR,2026-08-29
50,50,Davante Adams,LAR,WR,WR22,davante adams|WR,Sleeper,PPR,2026-08-29
51,51,Joe Burrow,CIN,QB,QB4,joe burrow|QB,Sleeper,PPR,2026-08-29
52,52,Luther Burden III,CHI,WR,WR23,luther burden|WR,Sleeper,PPR,2026-08-29
53,53,Quinshon Judkins,CLE,RB,RB22,quinshon judkins|RB,Sleeper,PPR,2026-08-29
54,54,TreVeyon Henderson,NE,RB,RB23,treveyon henderson|RB,Sleeper,PPR,2026-08-29
55,55,D'Andre Swift,CHI,RB,RB24,dandre swift|RB,Sleeper,PPR,2026-08-29
56,56,Terry McLaurin,WAS,WR,WR24,terry mclaurin|WR,Sleeper,PPR,2026-08-29
57,57,D.J. Moore,BUF,WR,WR25,dj moore|WR,Sleeper,PPR,2026-08-29
58,58,Jameson Williams,DET,WR,WR26,jameson williams|WR,Sleeper,PPR,2026-08-29
59,59,Jalen Hurts,PHI,QB,QB5,jalen hurts|QB,Sleeper,PPR,2026-08-29
60,60,Sam LaPorta,DET,TE,TE5,sam laporta|TE,Sleeper,PPR,2026-08-29
61,61,Mike Evans,SF,WR,WR27,mike evans|WR,Sleeper,PPR,2026-08-29
62,62,Bhayshul Tuten,JAX,RB,RB25,bhayshul tuten|RB,Sleeper,PPR,2026-08-29
63,63,Tucker Kraft,GB,TE,TE6,tucker kraft|TE,Sleeper,PPR,2026-08-29
64,64,Jayden Daniels,WAS,QB,QB6,jayden daniels|QB,Sleeper,PPR,2026-08-29
65,65,Rome Odunze,CHI,WR,WR28,rome odunze|WR,Sleeper,PPR,2026-08-29
66,66,Carnell Tate,TEN,WR,WR29,carnell tate|WR,Sleeper,PPR,2026-08-29
67,67,Jadarian Price,SEA,RB,RB26,jadarian price|RB,Sleeper,PPR,2026-08-29
68,68,Harold Fannin Jr.,CLE,TE,TE7,harold fannin|TE,Sleeper,PPR,2026-08-29
69,69,Kyle Pitts,ATL,TE,TE8,kyle pitts|TE,Sleeper,PPR,2026-08-29
70,70,Christian Watson,GB,WR,WR30,christian watson|WR,Sleeper,PPR,2026-08-29
71,71,Caleb Williams,CHI,QB,QB7,caleb williams|QB,Sleeper,PPR,2026-08-29
72,72,Jaylen Warren,PIT,RB,RB27,jaylen warren|RB,Sleeper,PPR,2026-08-29
73,73,Brian Thomas Jr.,JAX,WR,WR31,brian thomas|WR,Sleeper,PPR,2026-08-29
74,74,D.K. Metcalf,PIT,WR,WR32,dk metcalf|WR,Sleeper,PPR,2026-08-29
75,75,Marvin Harrison Jr.,ARI,WR,WR33,marvin harrison|WR,Sleeper,PPR,2026-08-29
76,76,Parker Washington,JAX,WR,WR34,parker washington|WR,Sleeper,PPR,2026-08-29
77,77,Chuba Hubbard,CAR,RB,RB28,chuba hubbard|RB,Sleeper,PPR,2026-08-29
78,78,Dak Prescott,DAL,QB,QB8,dak prescott|QB,Sleeper,PPR,2026-08-29
79,79,RJ Harvey,DEN,RB,RB29,rj harvey|RB,Sleeper,PPR,2026-08-29
80,80,Courtland Sutton,DEN,WR,WR35,courtland sutton|WR,Sleeper,PPR,2026-08-29
81,81,Rhamondre Stevenson,NE,RB,RB30,rhamondre stevenson|RB,Sleeper,PPR,2026-08-29
82,82,Justin Herbert,LAC,QB,QB9,justin herbert|QB,Sleeper,PPR,2026-08-29
83,83,Michael Wilson,ARI,WR,WR36,michael wilson|WR,Sleeper,PPR,2026-08-29
84,84,Tony Pollard,TEN,RB,RB31,tony pollard|RB,Sleeper,PPR,2026-08-29
85,85,Rico Dowdle,PIT,RB,RB32,rico dowdle|RB,Sleeper,PPR,2026-08-29
86,86,Makai Lemon,PHI,WR,WR37,makai lemon|WR,Sleeper,PPR,2026-08-29
87,87,Dalton Kincaid,BUF,TE,TE9,dalton kincaid|TE,Sleeper,PPR,2026-08-29
88,88,Los Angeles Rams,LAR,DEF,DEF1,los angeles rams|DEF,Sleeper,PPR,2026-08-29
89,89,George Kittle,SF,TE,TE10,george kittle|TE,Sleeper,PPR,2026-08-29
90,90,Jordyn Tyson,NO,WR,WR38,jordyn tyson|WR,Sleeper,PPR,2026-08-29
91,91,Jaxson Dart,NYG,QB,QB10,jaxson dart|QB,Sleeper,PPR,2026-08-29
92,92,Travis Kelce,KC,TE,TE11,travis kelce|TE,Sleeper,PPR,2026-08-29
93,93,Brandon Aubrey,DAL,K,K1,brandon aubrey|K,Sleeper,PPR,2026-08-29
94,94,J.K. Dobbins,DEN,RB,RB33,jk dobbins|RB,Sleeper,PPR,2026-08-29
95,95,Chris Godwin,TB,WR,WR39,chris godwin|WR,Sleeper,PPR,2026-08-29
96,96,Matthew Stafford,LAR,QB,QB11,matthew stafford|QB,Sleeper,PPR,2026-08-29
97,97,Houston Texans,HOU,DEF,DEF2,houston texans|DEF,Sleeper,PPR,2026-08-29
98,98,Jake Ferguson,DAL,TE,TE12,jake ferguson|TE,Sleeper,PPR,2026-08-29
99,99,Kyle Monangai,CHI,RB,RB34,kyle monangai|RB,Sleeper,PPR,2026-08-29
100,100,Trevor Lawrence,JAX,QB,QB12,trevor lawrence|QB,Sleeper,PPR,2026-08-29
101,101,Michael Pittman Jr.,PIT,WR,WR40,michael pittman|WR,Sleeper,PPR,2026-08-29
102,102,Alec Pierce,IND,WR,WR41,alec pierce|WR,Sleeper,PPR,2026-08-29
103,103,Blake Corum,LAR,RB,RB35,blake corum|RB,Sleeper,PPR,2026-08-29
104,104,Jordan Addison,MIN,WR,WR42,jordan addison|WR,Sleeper,PPR,2026-08-29
105,105,Seattle Seahawks,SEA,DEF,DEF3,seattle seahawks|DEF,Sleeper,PPR,2026-08-29
106,106,Jonathon Brooks,CAR,RB,RB36,jonathon brooks|RB,Sleeper,PPR,2026-08-29
107,107,Patrick Mahomes,KC,QB,QB13,patrick mahomes|QB,Sleeper,PPR,2026-08-29
108,108,Josh Downs,IND,WR,WR43,josh downs|WR,Sleeper,PPR,2026-08-29
109,109,Isaiah Likely,NYG,TE,TE13,isaiah likely|TE,Sleeper,PPR,2026-08-29
110,110,Stefon Diggs,WAS,WR,WR44,stefon diggs|WR,Sleeper,PPR,2026-08-29
111,111,Kenneth Gainwell,TB,RB,RB37,kenneth gainwell|RB,Sleeper,PPR,2026-08-29
112,112,Jayden Reed,GB,WR,WR45,jayden reed|WR,Sleeper,PPR,2026-08-29
113,113,Jacory Croskey-Merritt,WAS,RB,RB38,jacory croskeymerritt|RB,Sleeper,PPR,2026-08-29
114,114,Quentin Johnston,LAC,WR,WR46,quentin johnston|WR,Sleeper,PPR,2026-08-29
115,115,Jakobi Meyers,JAX,WR,WR47,jakobi meyers|WR,Sleeper,PPR,2026-08-29
116,116,Wan'Dale Robinson,TEN,WR,WR48,wandale robinson|WR,Sleeper,PPR,2026-08-29
117,117,Jordan Mason,MIN,RB,RB39,jordan mason|RB,Sleeper,PPR,2026-08-29
118,118,Cameron Dicker,LAC,K,K2,cameron dicker|K,Sleeper,PPR,2026-08-29
119,119,Denver Broncos,DEN,DEF,DEF4,denver broncos|DEF,Sleeper,PPR,2026-08-29
120,120,Bo Nix,DEN,QB,QB14,bo nix|QB,Sleeper,PPR,2026-08-29
121,121,KC Concepcion,CLE,WR,WR49,kc concepcion|WR,Sleeper,PPR,2026-08-29
122,122,Brock Purdy,SF,QB,QB15,brock purdy|QB,Sleeper,PPR,2026-08-29
123,123,Dallas Goedert,PHI,TE,TE14,dallas goedert|TE,Sleeper,PPR,2026-08-29
124,124,Aaron Jones,MIN,RB,RB40,aaron jones|RB,Sleeper,PPR,2026-08-29
125,125,Jason Myers,SEA,K,K3,jason myers|K,Sleeper,PPR,2026-08-29
126,126,Philadelphia Eagles,PHI,DEF,DEF5,philadelphia eagles|DEF,Sleeper,PPR,2026-08-29
127,127,Matthew Golden,GB,WR,WR50,matthew golden|WR,Sleeper,PPR,2026-08-29
128,129,Mark Andrews,BAL,TE,TE16,mark andrews|TE,Sleeper,PPR,2026-08-29
129,130,Ka'imi Fairbairn,HOU,K,K4,kaimi fairbairn|K,Sleeper,PPR,2026-08-29
130,131,Rachaad White,WAS,RB,RB41,rachaad white|RB,Sleeper,PPR,2026-08-29
131,132,Romeo Doubs,NE,WR,WR51,romeo doubs|WR,Sleeper,PPR,2026-08-29
132,133,Jared Goff,DET,QB,QB16,jared goff|QB,Sleeper,PPR,2026-08-29
133,134,Cam Little,JAX,K,K5,cam little|K,Sleeper,PPR,2026-08-29
134,135,Baltimore Ravens,BAL,DEF,DEF6,baltimore ravens|DEF,Sleeper,PPR,2026-08-29
135,136,New England Patriots,NE,DEF,DEF7,new england patriots|DEF,Sleeper,PPR,2026-08-29
136,137,De'Zhaun Stribling,SF,WR,WR52,dezhaun stribling|WR,Sleeper,PPR,2026-08-29
137,138,Deebo Samuel,SF,WR,WR53,deebo samuel|WR,Sleeper,PPR,2026-08-29
138,139,Hunter Henry,NE,TE,TE17,hunter henry|TE,Sleeper,PPR,2026-08-29
139,140,Xavier Worthy,KC,WR,WR54,xavier worthy|WR,Sleeper,PPR,2026-08-29
140,141,Jake Bates,DET,K,K6,jake bates|K,Sleeper,PPR,2026-08-29
141,142,Chris Rodriguez,JAX,RB,RB42,chris rodriguez|RB,Sleeper,PPR,2026-08-29
142,143,Baker Mayfield,TB,QB,QB17,baker mayfield|QB,Sleeper,PPR,2026-08-29
143,144,Khalil Shakir,BUF,WR,WR55,khalil shakir|WR,Sleeper,PPR,2026-08-29
144,145,Jalen Coker,CAR,WR,WR56,jalen coker|WR,Sleeper,PPR,2026-08-29
145,146,Tyler Allgeier,ARI,RB,RB43,tyler allgeier|RB,Sleeper,PPR,2026-08-29
146,147,Rashid Shaheed,SEA,WR,WR57,rashid shaheed|WR,Sleeper,PPR,2026-08-29
147,148,Zach Charbonnet,SEA,RB,RB44,zach charbonnet|RB,Sleeper,PPR,2026-08-29
148,149,Jordan Love,GB,QB,QB18,jordan love|QB,Sleeper,PPR,2026-08-29
149,150,Harrison Mevis,LAR,K,K7,harrison mevis|K,Sleeper,PPR,2026-08-29
150,151,Minnesota Vikings,MIN,DEF,DEF8,minnesota vikings|DEF,Sleeper,PPR,2026-08-29
151,152,Brenton Strange,JAX,TE,TE18,brenton strange|TE,Sleeper,PPR,2026-08-29
152,153,Kenyon Sadiq,NYJ,TE,TE19,kenyon sadiq|TE,Sleeper,PPR,2026-08-29
153,154,Detroit Lions,DET,DEF,DEF9,detroit lions|DEF,Sleeper,PPR,2026-08-29
154,155,Brian Robinson Jr.,ATL,RB,RB45,brian robinson|RB,Sleeper,PPR,2026-08-29
155,156,Andres Borregales,NE,K,K8,andres borregales|K,Sleeper,PPR,2026-08-29
156,157,Ja'Kobi Lane,BAL,WR,WR58,jakobi lane|WR,Sleeper,PPR,2026-08-29
157,158,Chris Boswell,PIT,K,K9,chris boswell|K,Sleeper,PPR,2026-08-29
158,159,Kyler Murray,MIN,QB,QB19,kyler murray|QB,Sleeper,PPR,2026-08-29
159,160,Woody Marks,HOU,RB,RB46,woody marks|RB,Sleeper,PPR,2026-08-29
160,161,Alvin Kamara,NO,RB,RB47,alvin kamara|RB,Sleeper,PPR,2026-08-29
161,162,Pittsburgh Steelers,PIT,DEF,DEF10,pittsburgh steelers|DEF,Sleeper,PPR,2026-08-29
162,163,Tyrone Tracy Jr.,NYG,RB,RB48,tyrone tracy|RB,Sleeper,PPR,2026-08-29
163,164,T.J. Hockenson,MIN,TE,TE20,tj hockenson|TE,Sleeper,PPR,2026-08-29
164,165,Tyjae Spears,TEN,RB,RB49,tyjae spears|RB,Sleeper,PPR,2026-08-29
165,166,Denzel Boston,CLE,WR,WR59,denzel boston|WR,Sleeper,PPR,2026-08-29
166,167,Travis Hunter,JAX,WR,WR60,travis hunter|WR,Sleeper,PPR,2026-08-29
167,168,Jacksonville Jaguars,JAX,DEF,DEF11,jacksonville jaguars|DEF,Sleeper,PPR,2026-08-29
168,169,Jonah Coleman,DEN,RB,RB50,jonah coleman|RB,Sleeper,PPR,2026-08-29
169,170,Will Reichard,MIN,K,K10,will reichard|K,Sleeper,PPR,2026-08-29
170,171,Mike Washington Jr.,LV,RB,RB51,mike washington|RB,Sleeper,PPR,2026-08-29
171,173,Harrison Butker,KC,K,K11,harrison butker|K,Sleeper,PPR,2026-08-29
172,174,Malik Washington,MIA,WR,WR62,malik washington|WR,Sleeper,PPR,2026-08-29
173,175,Sam Darnold,SEA,QB,QB20,sam darnold|QB,Sleeper,PPR,2026-08-29
174,177,Tank Bigsby,PHI,RB,RB52,tank bigsby|RB,Sleeper,PPR,2026-08-29
175,178,Los Angeles Chargers,LAC,DEF,DEF12,los angeles chargers|DEF,Sleeper,PPR,2026-08-29
176,179,Fernando Mendoza,LV,QB,QB21,fernando mendoza|QB,Sleeper,PPR,2026-08-29
177,180,Evan McPherson,CIN,K,K12,evan mcpherson|K,Sleeper,PPR,2026-08-29
178,181,Keaton Mitchell,LAC,RB,RB53,keaton mitchell|RB,Sleeper,PPR,2026-08-29
179,182,Jalen Nailor,LV,WR,WR64,jalen nailor|WR,Sleeper,PPR,2026-08-29
180,183,AJ Barner,SEA,TE,TE21,aj barner|TE,Sleeper,PPR,2026-08-29
181,184,Isiah Pacheco,DET,RB,RB54,isiah pacheco|RB,Sleeper,PPR,2026-08-29
182,185,Chigoziem Okonkwo,WAS,TE,TE22,chigoziem okonkwo|TE,Sleeper,PPR,2026-08-29
183,186,Tyler Shough,NO,QB,QB22,tyler shough|QB,Sleeper,PPR,2026-08-29
184,187,Juwan Johnson,NO,TE,TE23,juwan johnson|TE,Sleeper,PPR,2026-08-29
185,188,Dylan Sampson,CLE,RB,RB55,dylan sampson|RB,Sleeper,PPR,2026-08-29
186,189,Jerry Jeudy,CLE,WR,WR65,jerry jeudy|WR,Sleeper,PPR,2026-08-29
187,190,Omar Cooper Jr.,NYJ,WR,WR66,omar cooper|WR,Sleeper,PPR,2026-08-29
188,191,Dalton Schultz,HOU,TE,TE24,dalton schultz|TE,Sleeper,PPR,2026-08-29
189,192,Zachariah Branch,ATL,WR,WR67,zachariah branch|WR,Sleeper,PPR,2026-08-29
190,193,Eddy Pineiro,SF,K,K13,eddy pineiro|K,Sleeper,PPR,2026-08-29
191,194,Malik Willis,MIA,QB,QB23,malik willis|QB,Sleeper,PPR,2026-08-29
192,195,Jauan Jennings,MIN,WR,WR68,jauan jennings|WR,Sleeper,PPR,2026-08-29
193,196,Keenan Allen,IND,WR,WR69,keenan allen|WR,Sleeper,PPR,2026-08-29
194,197,MarShawn Lloyd,GB,RB,RB56,marshawn lloyd|RB,Sleeper,PPR,2026-08-29
195,198,Dallas Cowboys,DAL,DEF,DEF13,dallas cowboys|DEF,Sleeper,PPR,2026-08-29
196,199,Tyler Loop,BAL,K,K14,tyler loop|K,Sleeper,PPR,2026-08-29
197,200,Green Bay Packers,GB,DEF,DEF14,green bay packers|DEF,Sleeper,PPR,2026-08-29
198,201,Tre Tucker,LV,WR,WR70,tre tucker|WR,Sleeper,PPR,2026-08-29
199,202,C.J. Stroud,HOU,QB,QB24,cj stroud|QB,Sleeper,PPR,2026-08-29
200,203,Daniel Jones,IND,QB,QB25,daniel jones|QB,Sleeper,PPR,2026-08-29
201,204,Braelon Allen,NYJ,RB,RB57,braelon allen|RB,Sleeper,PPR,2026-08-29
202,205,Terrance Ferguson,LAR,TE,TE25,terrance ferguson|TE,Sleeper,PPR,2026-08-29
203,207,Emmett Johnson,KC,RB,RB58,emmett johnson|RB,Sleeper,PPR,2026-08-29
204,208,Nicholas Singleton,TEN,RB,RB59,nicholas singleton|RB,Sleeper,PPR,2026-08-29
205,209,Jalen McMillan,TB,WR,WR71,jalen mcmillan|WR,Sleeper,PPR,2026-08-29
206,210,Tyreek Hill,FA,WR,WR72,tyreek hill|WR,Sleeper,PPR,2026-08-29
207,211,Devin Neal,NO,RB,RB60,devin neal|RB,Sleeper,PPR,2026-08-29
208,212,Trey Smack,GB,K,K15,trey smack|K,Sleeper,PPR,2026-08-29
209,213,Caleb Douglas,MIA,WR,WR73,caleb douglas|WR,Sleeper,PPR,2026-08-29
210,214,Jaylin Noel,HOU,WR,WR74,jaylin noel|WR,Sleeper,PPR,2026-08-29
211,215,Buffalo Bills,BUF,DEF,DEF15,buffalo bills|DEF,Sleeper,PPR,2026-08-29
212,216,Kaelon Black,SF,RB,RB61,kaelon black|RB,Sleeper,PPR,2026-08-29
213,217,Jake Elliott,PHI,K,K16,jake elliott|K,Sleeper,PPR,2026-08-29
214,218,Kaleb Johnson,PIT,RB,RB62,kaleb johnson|RB,Sleeper,PPR,2026-08-29
215,219,Najee Harris,NYG,RB,RB63,najee harris|RB,Sleeper,PPR,2026-08-29
216,220,San Francisco 49ers,SF,DEF,DEF16,san francisco ers|DEF,Sleeper,PPR,2026-08-29
217,221,Indianapolis Colts,IND,DEF,DEF17,indianapolis colts|DEF,Sleeper,PPR,2026-08-29
218,223,Malachi Fields,NYG,WR,WR76,malachi fields|WR,Sleeper,PPR,2026-08-29
219,224,Cooper Kupp,SEA,WR,WR77,cooper kupp|WR,Sleeper,PPR,2026-08-29
220,225,Chicago Bears,CHI,DEF,DEF18,chicago bears|DEF,Sleeper,PPR,2026-08-29
221,226,Chase McLaughlin,TB,K,K17,chase mclaughlin|K,Sleeper,PPR,2026-08-29
222,228,Kayshon Boutte,HOU,WR,WR79,kayshon boutte|WR,Sleeper,PPR,2026-08-29
223,232,Kendre Miller,NO,RB,RB64,kendre miller|RB,Sleeper,PPR,2026-08-29
224,233,Ray Davis,BUF,RB,RB65,ray davis|RB,Sleeper,PPR,2026-08-29
225,234,Brashard Smith,KC,RB,RB66,brashard smith|RB,Sleeper,PPR,2026-08-29
226,235,Kansas City Chiefs,KC,DEF,DEF19,kansas city chiefs|DEF,Sleeper,PPR,2026-08-29
227,236,Pat Bryant,DEN,WR,WR81,pat bryant|WR,Sleeper,PPR,2026-08-29
228,237,Bryce Young,CAR,QB,QB27,bryce young|QB,Sleeper,PPR,2026-08-29
229,239,Cameron Ward,TEN,QB,QB28,cameron ward|QB,Sleeper,PPR,2026-08-29
230,240,Michael Penix Jr.,ATL,QB,QB29,michael penix|QB,Sleeper,PPR,2026-08-29
231,241,Atlanta Falcons,ATL,DEF,DEF20,atlanta falcons|DEF,Sleeper,PPR,2026-08-29
232,243,Aaron Rodgers,PIT,QB,QB30,aaron rodgers|QB,Sleeper,PPR,2026-08-29
233,246,Greg Dulcich,MIA,TE,TE28,greg dulcich|TE,Sleeper,PPR,2026-08-29
234,247,Jaydon Blue,DAL,RB,RB68,jaydon blue|RB,Sleeper,PPR,2026-08-29
235,248,Germie Bernard,PIT,WR,WR85,germie bernard|WR,Sleeper,PPR,2026-08-29
236,249,Ryan Flournoy,DAL,WR,WR86,ryan flournoy|WR,Sleeper,PPR,2026-08-29
237,250,Tre Harris,LAC,WR,WR87,tre harris|WR,Sleeper,PPR,2026-08-29
238,252,Tampa Bay Buccaneers,TB,DEF,DEF21,tampa bay buccaneers|DEF,Sleeper,PPR,2026-08-29
239,253,Adonai Mitchell,NYJ,WR,WR88,adonai mitchell|WR,Sleeper,PPR,2026-08-29
240,254,Rashod Bateman,BAL,WR,WR89,rashod bateman|WR,Sleeper,PPR,2026-08-29
241,255,Gunnar Helm,TEN,TE,TE30,gunnar helm|TE,Sleeper,PPR,2026-08-29
242,256,James Conner,ARI,RB,RB69,james conner|RB,Sleeper,PPR,2026-08-29
243,257,Cairo Santos,CHI,K,K18,cairo santos|K,Sleeper,PPR,2026-08-29
244,258,Keon Coleman,BUF,WR,WR90,keon coleman|WR,Sleeper,PPR,2026-08-29
245,259,Cade Otton,TB,TE,TE31,cade otton|TE,Sleeper,PPR,2026-08-29
246,260,Shedeur Sanders,CLE,QB,QB31,shedeur sanders|QB,Sleeper,PPR,2026-08-29
247,261,Tua Tagovailoa,ATL,QB,QB32,tua tagovailoa|QB,Sleeper,PPR,2026-08-29
248,264,Audric Estime,NO,RB,RB70,audric estime|RB,Sleeper,PPR,2026-08-29
249,265,Kimani Vidal,LAC,RB,RB71,kimani vidal|RB,Sleeper,PPR,2026-08-29
250,268,Carolina Panthers,CAR,DEF,DEF22,carolina panthers|DEF,Sleeper,PPR,2026-08-29
251,269,New York Giants,NYG,DEF,DEF23,new york giants|DEF,Sleeper,PPR,2026-08-29
252,272,Kaytron Allen,WAS,RB,RB72,kaytron allen|RB,Sleeper,PPR,2026-08-29
253,274,Devaughn Vele,NO,WR,WR94,devaughn vele|WR,Sleeper,PPR,2026-08-29
254,275,Pat Freiermuth,PIT,TE,TE33,pat freiermuth|TE,Sleeper,PPR,2026-08-29
255,277,Jarquez Hunter,MIA,RB,RB73,jarquez hunter|RB,Sleeper,PPR,2026-08-29
256,278,Chris Bell,MIA,WR,WR95,chris bell|WR,Sleeper,PPR,2026-08-29
257,280,Cincinnati Bengals,CIN,DEF,DEF24,cincinnati bengals|DEF,Sleeper,PPR,2026-08-29
258,287,Demond Claiborne,MIN,RB,RB74,demond claiborne|RB,Sleeper,PPR,2026-08-29
259,290,Jacoby Brissett,ARI,QB,QB34,jacoby brissett|QB,Sleeper,PPR,2026-08-29
260,292,Sean Tucker,TB,RB,RB75,sean tucker|RB,Sleeper,PPR,2026-08-29
261,295,New Orleans Saints,NO,DEF,DEF25,new orleans saints|DEF,Sleeper,PPR,2026-08-29
