ADP,Player,Team,Pos,Pos Rank,Source,Format,Date Pulled
45,Zay Flowers,BAL,WR,WR20,Sleeper,PPR,2026-08-16
46,Tyler Warren,IND,TE,TE4,Sleeper,PPR,2026-08-16
47,Jaylen Waddle,DEN,WR,WR21,Sleeper,PPR,2026-08-16
48,Luther Burden III,CHI,WR,WR22,Sleeper,PPR,2026-08-16
49,Drake Maye,NE,QB,QB3,Sleeper,PPR,2026-08-16
50,Davante Adams,LAR,WR,WR23,Sleeper,PPR,2026-08-16
51,TreVeyon Henderson,NE,RB,RB21,Sleeper,PPR,2026-08-16
52,Quinshon Judkins,CLE,RB,RB22,Sleeper,PPR,2026-08-16
53,David Montgomery,HOU,RB,RB23,Sleeper,PPR,2026-08-16
54,Joe Burrow,CIN,QB,QB4,Sleeper,PPR,2026-08-16
55,Terry McLaurin,WAS,WR,WR24,Sleeper,PPR,2026-08-16
56,Jameson Williams,DET,WR,WR25,Sleeper,PPR,2026-08-16
57,D.J. Moore,BUF,WR,WR26,Sleeper,PPR,2026-08-16
58,D'Andre Swift,CHI,RB,RB24,Sleeper,PPR,2026-08-16
59,Mike Evans,SF,WR,WR27,Sleeper,PPR,2026-08-16
60,Bhayshul Tuten,JAC,RB,RB25,Sleeper,PPR,2026-08-16
61,Jayden Daniels,WAS,QB,QB5,Sleeper,PPR,2026-08-16
62,Sam LaPorta,DET,TE,TE5,Sleeper,PPR,2026-08-16
63,Carnell Tate,TEN,WR,WR28,Sleeper,PPR,2026-08-16
64,Jalen Hurts,PHI,QB,QB6,Sleeper,PPR,2026-08-16
65,Tucker Kraft,GB,TE,TE6,Sleeper,PPR,2026-08-16
66,Rome Odunze,CHI,WR,WR29,Sleeper,PPR,2026-08-16
67,Harold Fannin Jr.,CLE,TE,TE7,Sleeper,PPR,2026-08-16
68,Kyle Pitts,ATL,TE,TE8,Sleeper,PPR,2026-08-16
69,Christian Watson,GB,WR,WR30,Sleeper,PPR,2026-08-16
70,Jadarian Price,SEA,RB,RB26,Sleeper,PPR,2026-08-16
71,D.K. Metcalf,PIT,WR,WR31,Sleeper,PPR,2026-08-16
72,Brian Thomas Jr.,JAC,WR,WR32,Sleeper,PPR,2026-08-16
73,Caleb Williams,CHI,QB,QB7,Sleeper,PPR,2026-08-16
74,Jaylen Warren,PIT,RB,RB27,Sleeper,PPR,2026-08-16
75,Jordyn Tyson,NO,WR,WR33,Sleeper,PPR,2026-08-16
76,Chuba Hubbard,CAR,RB,RB28,Sleeper,PPR,2026-08-16
77,Marvin Harrison Jr.,ARI,WR,WR34,Sleeper,PPR,2026-08-16
78,RJ Harvey,DEN,RB,RB29,Sleeper,PPR,2026-08-16
79,Parker Washington,JAC,WR,WR35,Sleeper,PPR,2026-08-16
80,Courtland Sutton,DEN,WR,WR36,Sleeper,PPR,2026-08-16
81,Jaxson Dart,NYG,QB,QB8,Sleeper,PPR,2026-08-16
82,Makai Lemon,PHI,WR,WR37,Sleeper,PPR,2026-08-16
83,Michael Wilson,ARI,WR,WR38,Sleeper,PPR,2026-08-16
84,Justin Herbert,LAC,QB,QB9,Sleeper,PPR,2026-08-16
85,Dak Prescott,DAL,QB,QB10,Sleeper,PPR,2026-08-16
86,Rhamondre Stevenson,NE,RB,RB30,Sleeper,PPR,2026-08-16
87,Tony Pollard,TEN,RB,RB31,Sleeper,PPR,2026-08-16
88,Rico Dowdle,PIT,RB,RB32,Sleeper,PPR,2026-08-16
89,J.K. Dobbins,DEN,RB,RB33,Sleeper,PPR,2026-08-16
90,Los Angeles Rams,LAR,DEF,DEF1,Sleeper,PPR,2026-08-16
91,Dalton Kincaid,BUF,TE,TE9,Sleeper,PPR,2026-08-16
92,George Kittle,SF,TE,TE10,Sleeper,PPR,2026-08-16
93,Alec Pierce,IND,WR,WR39,Sleeper,PPR,2026-08-16
94,Kyle Monangai,CHI,RB,RB34,Sleeper,PPR,2026-08-16
95,Chris Godwin,TB,WR,WR40,Sleeper,PPR,2026-08-16
96,Travis Kelce,KC,TE,TE11,Sleeper,PPR,2026-08-16
97,Trevor Lawrence,JAC,QB,QB11,Sleeper,PPR,2026-08-16
98,Jakobi Meyers,JAC,WR,WR41,Sleeper,PPR,2026-08-16
99,Jake Ferguson,DAL,TE,TE12,Sleeper,PPR,2026-08-16
100,Michael Pittman Jr.,PIT,WR,WR42,Sleeper,PPR,2026-08-16
101,Blake Corum,LAR,RB,RB35,Sleeper,PPR,2026-08-16
102,Matthew Stafford,LAR,QB,QB12,Sleeper,PPR,2026-08-16
103,Houston Texans,HOU,DEF,DEF2,Sleeper,PPR,2026-08-16
104,Jordan Addison,MIN,WR,WR43,Sleeper,PPR,2026-08-16
105,Quentin Johnston,LAC,WR,WR44,Sleeper,PPR,2026-08-16
106,Patrick Mahomes,KC,QB,QB13,Sleeper,PPR,2026-08-16
107,Oronde Gadsden II,LAC,TE,TE13,Sleeper,PPR,2026-08-16
108,Wan'Dale Robinson,TEN,WR,WR45,Sleeper,PPR,2026-08-16
109,Seattle Seahawks,SEA,DEF,DEF3,Sleeper,PPR,2026-08-16
110,Kenneth Gainwell,TB,RB,RB36,Sleeper,PPR,2026-08-16
111,Josh Downs,IND,WR,WR46,Sleeper,PPR,2026-08-16
112,Jacory Croskey-Merritt,WAS,RB,RB37,Sleeper,PPR,2026-08-16
113,Jayden Reed,GB,WR,WR47,Sleeper,PPR,2026-08-16
114,Isaiah Likely,NYG,TE,TE14,Sleeper,PPR,2026-08-16
115,Brock Purdy,SF,QB,QB14,Sleeper,PPR,2026-08-16
116,Aaron Jones,MIN,RB,RB38,Sleeper,PPR,2026-08-16
117,Stefon Diggs,WAS,WR,WR48,Sleeper,PPR,2026-08-16
118,Bo Nix,DEN,QB,QB15,Sleeper,PPR,2026-08-16
119,Jordan Mason,MIN,RB,RB39,Sleeper,PPR,2026-08-16
120,Dallas Goedert,PHI,TE,TE15,Sleeper,PPR,2026-08-16
121,Denver Broncos,DEN,DEF,DEF4,Sleeper,PPR,2026-08-16
122,Philadelphia Eagles,PHI,DEF,DEF5,Sleeper,PPR,2026-08-16
123,Hunter Henry,NE,TE,TE16,Sleeper,PPR,2026-08-16
124,Romeo Doubs,NE,WR,WR49,Sleeper,PPR,2026-08-16
125,Rachaad White,WAS,RB,RB40,Sleeper,PPR,2026-08-16
126,Mark Andrews,BAL,TE,TE17,Sleeper,PPR,2026-08-16
127,Jared Goff,DET,QB,QB16,Sleeper,PPR,2026-08-16
128,Brandon Aubrey,DAL,K,K1,Sleeper,PPR,2026-08-16
129,Cameron Dicker,LAC,K,K2,Sleeper,PPR,2026-08-16
130,Jonathon Brooks,CAR,RB,RB41,Sleeper,PPR,2026-08-16
131,Jason Myers,SEA,K,K3,Sleeper,PPR,2026-08-16
132,Matthew Golden,GB,WR,WR50,Sleeper,PPR,2026-08-16
133,KC Concepcion,CLE,WR,WR51,Sleeper,PPR,2026-08-16
134,Khalil Shakir,BUF,WR,WR52,Sleeper,PPR,2026-08-16
135,Jayden Higgins,HOU,WR,WR53,Sleeper,PPR,2026-08-16
136,Deebo Samuel,SF,WR,WR54,Sleeper,PPR,2026-08-16
137,Xavier Worthy,KC,WR,WR55,Sleeper,PPR,2026-08-16
138,Zach Charbonnet,SEA,RB,RB42,Sleeper,PPR,2026-08-16
139,Ka'imi Fairbairn,HOU,K,K4,Sleeper,PPR,2026-08-16
140,Kenyon Sadiq,NYJ,TE,TE18,Sleeper,PPR,2026-08-16
141,Cam Little,JAC,K,K5,Sleeper,PPR,2026-08-16
142,Baltimore Ravens,BAL,DEF,DEF6,Sleeper,PPR,2026-08-16
143,Jalen Coker,CAR,WR,WR56,Sleeper,PPR,2026-08-16
144,Brian Robinson Jr.,ATL,RB,RB43,Sleeper,PPR,2026-08-16
145,Jordan Love,GB,QB,QB17,Sleeper,PPR,2026-08-16
146,Baker Mayfield,TB,QB,QB18,Sleeper,PPR,2026-08-16
147,New England Patriots,NE,DEF,DEF7,Sleeper,PPR,2026-08-16
148,Tyler Allgeier,ARI,RB,RB44,Sleeper,PPR,2026-08-16
149,Brenton Strange,JAC,TE,TE19,Sleeper,PPR,2026-08-16
150,Harrison Mevis,LAR,K,K6,Sleeper,PPR,2026-08-16
151,Minnesota Vikings,MIN,DEF,DEF8,Sleeper,PPR,2026-08-16
152,Detroit Lions,DET,DEF,DEF9,Sleeper,PPR,2026-08-16
153,Andres Borregales,NE,K,K7,Sleeper,PPR,2026-08-16
154,Chris Rodriguez,JAC,RB,RB45,Sleeper,PPR,2026-08-16
155,Rashid Shaheed,SEA,WR,WR57,Sleeper,PPR,2026-08-16
156,Tyrone Tracy Jr.,NYG,RB,RB46,Sleeper,PPR,2026-08-16
157,Kyler Murray,MIN,QB,QB19,Sleeper,PPR,2026-08-16
158,Woody Marks,HOU,RB,RB47,Sleeper,PPR,2026-08-16
159,Denzel Boston,CLE,WR,WR58,Sleeper,PPR,2026-08-16
160,Alvin Kamara,NO,RB,RB48,Sleeper,PPR,2026-08-16
161,Tyler Shough,NO,QB,QB20,Sleeper,PPR,2026-08-16
162,Pittsburgh Steelers,PIT,DEF,DEF10,Sleeper,PPR,2026-08-16
163,T.J. Hockenson,MIN,TE,TE20,Sleeper,PPR,2026-08-16
164,Jonah Coleman,DEN,RB,RB49,Sleeper,PPR,2026-08-16
165,Travis Hunter,JAC,WR,WR59,Sleeper,PPR,2026-08-16
166,Will Reichard,MIN,K,K8,Sleeper,PPR,2026-08-16
167,Chigoziem Okonkwo,WAS,TE,TE21,Sleeper,PPR,2026-08-16
168,Jacksonville Jaguars,JAC,DEF,DEF11,Sleeper,PPR,2026-08-16
169,Juwan Johnson,NO,TE,TE22,Sleeper,PPR,2026-08-16
170,Omar Cooper Jr.,NYJ,WR,WR60,Sleeper,PPR,2026-08-16
171,Tyjae Spears,TEN,RB,RB50,Sleeper,PPR,2026-08-16
172,Eddy Pineiro,SF,K,K9,Sleeper,PPR,2026-08-16
173,Jauan Jennings,MIN,WR,WR61,Sleeper,PPR,2026-08-16
174,Chris Boswell,PIT,K,K10,Sleeper,PPR,2026-08-16
175,Ja'Kobi Lane,BAL,WR,WR62,Sleeper,PPR,2026-08-16
176,De'Zhaun Stribling,SF,WR,WR63,Sleeper,PPR,2026-08-16
177,Jake Bates,DET,K,K11,Sleeper,PPR,2026-08-16
178,Sam Darnold,SEA,QB,QB21,Sleeper,PPR,2026-08-16
179,Los Angeles Chargers,LAC,DEF,DEF12,Sleeper,PPR,2026-08-16
180,Nathaniel Dell,HOU,WR,WR64,Sleeper,PPR,2026-08-16
181,Keaton Mitchell,LAC,RB,RB51,Sleeper,PPR,2026-08-16
182,Jalen Nailor,LVR,WR,WR65,Sleeper,PPR,2026-08-16
183,Harrison Butker,KC,K,K12,Sleeper,PPR,2026-08-16
184,Fernando Mendoza,LVR,QB,QB22,Sleeper,PPR,2026-08-16
185,Evan McPherson,CIN,K,K13,Sleeper,PPR,2026-08-16
186,Isiah Pacheco,DET,RB,RB52,Sleeper,PPR,2026-08-16
187,Malik Willis,MIA,QB,QB23,Sleeper,PPR,2026-08-16
188,AJ Barner,SEA,TE,TE23,Sleeper,PPR,2026-08-16
189,Dalton Schultz,HOU,TE,TE24,Sleeper,PPR,2026-08-16
190,Tank Bigsby,PHI,RB,RB53,Sleeper,PPR,2026-08-16
191,C.J. Stroud,HOU,QB,QB24,Sleeper,PPR,2026-08-16
192,Zachariah Branch,ATL,WR,WR66,Sleeper,PPR,2026-08-16
193,Dylan Sampson,CLE,RB,RB54,Sleeper,PPR,2026-08-16
194,Jalen McMillan,TB,WR,WR67,Sleeper,PPR,2026-08-16
195,Jerry Jeudy,CLE,WR,WR68,Sleeper,PPR,2026-08-16
196,Emmett Johnson,KC,RB,RB55,Sleeper,PPR,2026-08-16
197,Nicholas Singleton,TEN,RB,RB56,Sleeper,PPR,2026-08-16
198,Cairo Santos,CHI,K,K14,Sleeper,PPR,2026-08-16
199,James Conner,ARI,RB,RB57,Sleeper,PPR,2026-08-16
200,Antonio Williams,WAS,WR,WR69,Sleeper,PPR,2026-08-16
201,Dallas Cowboys,DAL,DEF,DEF13,Sleeper,PPR,2026-08-16
202,Tyler Loop,BAL,K,K15,Sleeper,PPR,2026-08-16
203,Green Bay Packers,GB,DEF,DEF14,Sleeper,PPR,2026-08-16
204,Cyrus Allen,KC,WR,WR70,Sleeper,PPR,2026-08-16
205,Joe Mixon,UNS,RB,RB58,Sleeper,PPR,2026-08-16
206,Cameron Ward,TEN,QB,QB25,Sleeper,PPR,2026-08-16
207,Bryce Young,CAR,QB,QB26,Sleeper,PPR,2026-08-16
208,Daniel Jones,IND,QB,QB27,Sleeper,PPR,2026-08-16
209,Malik Washington,MIA,WR,WR71,Sleeper,PPR,2026-08-16
210,Kansas City Chiefs,KC,DEF,DEF15,Sleeper,PPR,2026-08-16
211,Tyreek Hill,UNS,WR,WR72,Sleeper,PPR,2026-08-16
212,Tre Tucker,LVR,WR,WR73,Sleeper,PPR,2026-08-16
213,Devin Neal,NO,RB,RB59,Sleeper,PPR,2026-08-16
214,Terrance Ferguson,LAR,TE,TE25,Sleeper,PPR,2026-08-16
215,Najee Harris,UNS,RB,RB60,Sleeper,PPR,2026-08-16
216,Mike Washington Jr.,LVR,RB,RB61,Sleeper,PPR,2026-08-16
217,Jaylin Noel,HOU,WR,WR74,Sleeper,PPR,2026-08-16
218,David Njoku,LAC,TE,TE26,Sleeper,PPR,2026-08-16
219,Isaac TeSlaa,DET,WR,WR75,Sleeper,PPR,2026-08-16
220,Tre Harris,LAC,WR,WR76,Sleeper,PPR,2026-08-16
221,Cade Otton,TB,TE,TE27,Sleeper,PPR,2026-08-16
222,Kaleb Johnson,PIT,RB,RB62,Sleeper,PPR,2026-08-16
223,Braelon Allen,NYJ,RB,RB63,Sleeper,PPR,2026-08-16
224,Indianapolis Colts,IND,DEF,DEF16,Sleeper,PPR,2026-08-16
225,Adonai Mitchell,NYJ,WR,WR77,Sleeper,PPR,2026-08-16
226,Marvin Mims Jr.,DEN,WR,WR78,Sleeper,PPR,2026-08-16
227,Kayshon Boutte,NE,WR,WR79,Sleeper,PPR,2026-08-16
228,Kimani Vidal,LAC,RB,RB64,Sleeper,PPR,2026-08-16
229,Eli Stowers,PHI,TE,TE28,Sleeper,PPR,2026-08-16
230,Kyle Williams,NE,WR,WR80,Sleeper,PPR,2026-08-16
231,Buffalo Bills,BUF,DEF,DEF17,Sleeper,PPR,2026-08-16
232,J.J. McCarthy,MIN,QB,QB28,Sleeper,PPR,2026-08-16
233,Mason Taylor,NYJ,TE,TE29,Sleeper,PPR,2026-08-16
234,San Francisco 49ers,SF,DEF,DEF18,Sleeper,PPR,2026-08-16
235,Kendre Miller,NO,RB,RB65,Sleeper,PPR,2026-08-16
236,MarShawn Lloyd,GB,RB,RB66,Sleeper,PPR,2026-08-16
237,Chase McLaughlin,TB,K,K16,Sleeper,PPR,2026-08-16
238,Brashard Smith,KC,RB,RB67,Sleeper,PPR,2026-08-16
239,Chicago Bears,CHI,DEF,DEF19,Sleeper,PPR,2026-08-16
240,Michael Penix Jr.,ATL,QB,QB29,Sleeper,PPR,2026-08-16
241,New York Giants,NYG,DEF,DEF20,Sleeper,PPR,2026-08-16
242,Atlanta Falcons,ATL,DEF,DEF21,Sleeper,PPR,2026-08-16
243,Tory Horton,SEA,WR,WR81,Sleeper,PPR,2026-08-16
244,Cooper Kupp,SEA,WR,WR82,Sleeper,PPR,2026-08-16
245,Elijah Sarratt,BAL,WR,WR83,Sleeper,PPR,2026-08-16
246,Chimere Dike,TEN,WR,WR84,Sleeper,PPR,2026-08-16
247,Pat Bryant,DEN,WR,WR85,Sleeper,PPR,2026-08-16
248,Jaydon Blue,DAL,RB,RB68,Sleeper,PPR,2026-08-16
