sleeper_name_key,master_name_key,player_display,position
kenneth gainwell,kenneth gainwell,Kenneth Gainwell,RB
quentin johnston,quentin johnston,Quentin Johnston,WR
josh downs,josh downs,Josh Downs,WR
jacory croskey merritt,jacory croskey merritt,Jacory Croskey-Merritt,RB
bo nix,bo nix,Bo Nix,QB
cameron dicker,cameron dicker,Cameron Dicker,K
kc concepcion,kc concepcion,KC Concepcion,WR
wandale robinson,wandale robinson,Wan'Dale Robinson,WR
dallas goedert,dallas goedert,Dallas Goedert,TE
brock purdy,brock purdy,Brock Purdy,QB
jason myers,jason myers,Jason Myers,K
matthew golden,matthew golden,Matthew Golden,WR
jakobi meyers,jakobi meyers,Jakobi Meyers,WR
aaron jones,aaron jones,Aaron Jones,RB
mark andrews,mark andrews,Mark Andrews,TE
kaimi fairbairn,kaimi fairbairn,Ka'imi Fairbairn,K
deebo samuel,deebo samuel,Deebo Samuel,WR
romeo doubs,romeo doubs,Romeo Doubs,WR
jared goff,jared goff,Jared Goff,QB
rachaad white,rachaad white,Rachaad White,RB
cam little,cam little,Cam Little,K
dezhaun stribling,dezhaun stribling,De'Zhaun Stribling,WR
xavier worthy,xavier worthy,Xavier Worthy,WR
chris rodriguez,chris rodriguez,Chris Rodriguez,RB
jake bates,jake bates,Jake Bates,K
hunter henry,hunter henry,Hunter Henry,TE
tyler allgeier,tyler allgeier,Tyler Allgeier,RB
khalil shakir,khalil shakir,Khalil Shakir,WR
baker mayfield,baker mayfield,Baker Mayfield,QB
chris boswell,chris boswell,Chris Boswell,K
oronde gadsden,oronde gadsden,Oronde Gadsden II,TE
jalen coker,jalen coker,Jalen Coker,WR
woody marks,woody marks,Woody Marks,RB
rashid shaheed,rashid shaheed,Rashid Shaheed,WR
zach charbonnet,zach charbonnet,Zach Charbonnet,RB
kyler murray,kyler murray,Kyler Murray,QB
jordan love,jordan love,Jordan Love,QB
harrison mevis,harrison mevis,Harrison Mevis,K
brenton strange,brenton strange,Brenton Strange,TE
marshawn lloyd,marshawn lloyd,MarShawn Lloyd,RB
mike washington,mike washington,Mike Washington Jr.,RB
jakobi lane,jakobi lane,Ja'Kobi Lane,WR
harrison butker,harrison butker,Harrison Butker,K
sam darnold,sam darnold,Sam Darnold,QB
tyjae spears,tyjae spears,Tyjae Spears,RB
tj hockenson,tj hockenson,T.J. Hockenson,TE
jonah coleman,jonah coleman,Jonah Coleman,RB
alvin kamara,alvin kamara,Alvin Kamara,RB
travis hunter,travis hunter,Travis Hunter,WR
will reichard,will reichard,Will Reichard,K
denzel boston,denzel boston,Denzel Boston,WR
brian robinson,brian robinson,Brian Robinson Jr.,RB
kenyon sadiq,kenyon sadiq,Kenyon Sadiq,TE
tyrone tracy,tyrone tracy,Tyrone Tracy Jr.,RB
andres borregales,andres borregales,Andres Borregales,K
malik washington,malik washington,Malik Washington,WR
cyrus allen,cyrus allen,Cyrus Allen,WR
tyler loop,tyler loop,Tyler Loop,K
tank bigsby,tank bigsby,Tank Bigsby,RB
juwan johnson,juwan johnson,Juwan Johnson,TE
evan mcpherson,evan mcpherson,Evan McPherson,K
dalton schultz,dalton schultz,Dalton Schultz,TE
jalen nailor,jalen nailor,Jalen Nailor,WR
aj barner,aj barner,AJ Barner,TE
keaton mitchell,keaton mitchell,Keaton Mitchell,RB
jerry jeudy,jerry jeudy,Jerry Jeudy,WR
fernando mendoza,fernando mendoza,Fernando Mendoza,QB
tyler shough,tyler shough,Tyler Shough,QB
dylan sampson,dylan sampson,Dylan Sampson,RB
isiah pacheco,isiah pacheco,Isiah Pacheco,RB
chigoziem okonkwo,chigoziem okonkwo,Chigoziem Okonkwo,TE
eddy pineiro,eddy pineiro,Eddy Pineiro,K
omar cooper,omar cooper,Omar Cooper Jr.,WR
kaelon black,kaelon black,Kaelon Black,RB
trey smack,trey smack,Trey Smack,K
caleb douglas,caleb douglas,Caleb Douglas,WR
kayshon boutte,kayshon boutte,Kayshon Boutte,WR
cooper kupp,cooper kupp,Cooper Kupp,WR
tre tucker,tre tucker,Tre Tucker,WR
daniel jones,daniel jones,Daniel Jones,QB
braelon allen,braelon allen,Braelon Allen,RB
cj stroud,cj stroud,C.J. Stroud,QB
terrance ferguson,terrance ferguson,Terrance Ferguson,TE
emmett johnson,emmett johnson,Emmett Johnson,RB
jalen mcmillan,jalen mcmillan,Jalen McMillan,WR
malik willis,malik willis,Malik Willis,QB
zachariah branch,zachariah branch,Zachariah Branch,WR
nicholas singleton,nicholas singleton,Nicholas Singleton,RB
jauan jennings,jauan jennings,Jauan Jennings,WR
jaylin noel,jaylin noel,Jaylin Noel,WR
kaleb johnson,kaleb johnson,Kaleb Johnson,RB
malachi fields,malachi fields,Malachi Fields,WR
jake elliott,jake elliott,Jake Elliott,K
marvin mims,marvin mims,Marvin Mims Jr.,WR
chase mclaughlin,chase mclaughlin,Chase McLaughlin,K
ray davis,ray davis,Ray Davis,RB
david njoku,david njoku,David Njoku,TE
jj mccarthy,jj mccarthy,J.J. McCarthy,QB
mason taylor,mason taylor,Mason Taylor,TE
kendre miller,kendre miller,Kendre Miller,RB
bryce young,bryce young,Bryce Young,QB
brashard smith,brashard smith,Brashard Smith,RB
pat bryant,pat bryant,Pat Bryant,WR
isaac teslaa,isaac teslaa,Isaac TeSlaa,WR
cairo santos,cairo santos,Cairo Santos,K
michael penix,michael penix,Michael Penix Jr.,QB
jaydon blue,jaydon blue,Jaydon Blue,RB
tory horton,tory horton,Tory Horton,WR
aaron rodgers,aaron rodgers,Aaron Rodgers,QB
cameron ward,cameron ward,Cameron Ward,QB
elijah sarratt,elijah sarratt,Elijah Sarratt,WR
chimere dike,chimere dike,Chimere Dike,WR
greg dulcich,greg dulcich,Greg Dulcich,TE
germie bernard,germie bernard,Germie Bernard,WR
tre harris,tre harris,Tre Harris,WR
ryan flournoy,ryan flournoy,Ryan Flournoy,WR
adonai mitchell,adonai mitchell,Adonai Mitchell,WR
theo johnson,theo johnson,Theo Johnson,TE
rashod bateman,rashod bateman,Rashod Bateman,WR
cade otton,cade otton,Cade Otton,TE
gunnar helm,gunnar helm,Gunnar Helm,TE
keon coleman,keon coleman,Keon Coleman,WR
antonio williams,antonio williams,Antonio Williams,WR
shedeur sanders,shedeur sanders,Shedeur Sanders,QB
tua tagovailoa,tua tagovailoa,Tua Tagovailoa,QB
kimani vidal,kimani vidal,Kimani Vidal,RB
jack bech,jack bech,Jack Bech,WR
eli stowers,eli stowers,Eli Stowers,TE
kaytron allen,kaytron allen,Kaytron Allen,RB
ted hurst,ted hurst,Ted Hurst,WR
devaughn vele,devaughn vele,Devaughn Vele,WR
pat freiermuth,pat freiermuth,Pat Freiermuth,TE
chris bell,chris bell,Chris Bell,WR
jake tonges,jake tonges,Jake Tonges,TE
elic ayomanor,elic ayomanor,Elic Ayomanor,WR
christian kirk,christian kirk,Christian Kirk,WR
troy franklin,troy franklin,Troy Franklin,WR
