manager,nfl_team,picks,expected_picks,bias_ratio
Greg,DEN,1,2.46,0.41
Jayden,MIN,4,1.03,3.88
Jayden,DAL,3,1.13,2.65
Jayden,LAC,3,1.16,2.58
Jayden,BUF,2,1.23,1.62
Jayden,DEN,2,1.23,1.62
Jayden,CHI,1,1.03,0.97
Jayden,GB,1,1.1,0.91
Jayden,PHI,1,1.1,0.91
Jayden,DET,1,1.13,0.88
Jayden,JAX,1,1.13,0.88
Jayden,KC,1,1.36,0.73
Joseph,IND,5,1.89,2.64
Joseph,NYJ,4,1.55,2.57
Joseph,PIT,4,1.76,2.28
Joseph,LV,4,1.96,2.04
Joseph,MIN,4,2.09,1.91
Joseph,ATL,3,2.03,1.48
Joseph,BAL,3,2.09,1.43
Joseph,HOU,3,2.09,1.43
Joseph,TB,3,2.23,1.35
Joseph,DAL,3,2.3,1.31
Joseph,TEN,2,1.62,1.23
Joseph,CAR,2,1.76,1.14
Joseph,WAS,2,1.76,1.14
Joseph,CLE,2,1.82,1.1
Joseph,KC,3,2.77,1.08
Joseph,CHI,2,2.09,0.95
Joseph,GB,2,2.23,0.9
Joseph,PHI,2,2.23,0.9
Joseph,SF,2,2.23,0.9
Joseph,DET,2,2.3,0.87
Joseph,JAX,2,2.3,0.87
Joseph,LAC,2,2.36,0.85
Joseph,ARI,1,1.89,0.53
Joseph,MIA,1,1.89,0.53
Joseph,NE,1,1.89,0.53
Joseph,CIN,1,2.16,0.46
Kaiden,CIN,6,2.13,2.82
Kaiden,WAS,4,1.73,2.31
Kaiden,LV,4,1.93,2.07
Kaiden,DEN,5,2.46,2.03
Kaiden,CAR,3,1.73,1.73
Kaiden,SEA,3,1.8,1.67
Kaiden,BAL,3,2.06,1.45
Kaiden,TB,3,2.2,1.37
Kaiden,DET,3,2.26,1.33
Kaiden,JAX,3,2.26,1.33
Kaiden,LAR,2,1.73,1.16
Kaiden,CLE,2,1.8,1.11
Kaiden,KC,3,2.73,1.1
Kaiden,IND,2,1.86,1.07
Kaiden,NE,2,1.86,1.07
Kaiden,GB,2,2.2,0.91
Kaiden,SF,2,2.2,0.91
Kaiden,BUF,2,2.46,0.81
Kaiden,NYG,1,1.46,0.68
Kaiden,NYJ,1,1.53,0.65
Kaiden,TEN,1,1.6,0.63
Kaiden,PIT,1,1.73,0.58
Kaiden,MIA,1,1.86,0.54
Kaiden,ATL,1,2.0,0.5
Kaiden,CHI,1,2.06,0.48
Kaiden,HOU,1,2.06,0.48
Kaiden,PHI,1,2.2,0.46
Kaiden,DAL,1,2.26,0.44
Nathan,MIA,6,2.36,2.54
Nathan,JAX,7,2.86,2.45
Nathan,NE,5,2.36,2.12
Nathan,WAS,4,2.19,1.83
Nathan,BUF,5,3.12,1.6
Nathan,DEN,5,3.12,1.6
Nathan,MIN,4,2.61,1.53
Nathan,TEN,3,2.02,1.48
Nathan,LAC,4,2.95,1.36
Nathan,CLE,3,2.27,1.32
Nathan,ARI,3,2.36,1.27
Nathan,BAL,3,2.61,1.15
Nathan,NO,2,1.77,1.13
Nathan,PHI,3,2.78,1.08
Nathan,TB,3,2.78,1.08
Nathan,DAL,3,2.86,1.05
Nathan,DET,3,2.86,1.05
Nathan,LAR,2,2.19,0.91
Nathan,GB,2,2.78,0.72
Nathan,SF,2,2.78,0.72
Nathan,NYG,1,1.85,0.54
Nathan,NYJ,1,1.94,0.52
Nathan,PIT,1,2.19,0.46
Nathan,ATL,1,2.53,0.4
Nathan,CHI,1,2.61,0.38
Nathan,HOU,1,2.61,0.38
Nathan,CIN,1,2.69,0.37
Nathan,KC,1,3.45,0.29
Nick,NYJ,6,1.55,3.86
Nick,CHI,8,2.09,3.82
Nick,ARI,4,1.89,2.11
Nick,PIT,3,1.76,1.71
Nick,CLE,3,1.82,1.64
Nick,IND,3,1.89,1.59
Nick,ATL,3,2.03,1.48
Nick,NO,2,1.42,1.41
Nick,PHI,3,2.23,1.35
Nick,DAL,3,2.3,1.31
Nick,JAX,3,2.3,1.31
Nick,BUF,3,2.5,1.2
Nick,DEN,3,2.5,1.2
Nick,SEA,2,1.82,1.1
Nick,NE,2,1.89,1.06
Nick,CIN,2,2.16,0.92
Nick,GB,2,2.23,0.9
Nick,DET,2,2.3,0.87
Nick,KC,2,2.77,0.72
Nick,CAR,1,1.76,0.57
Nick,LAR,1,1.76,0.57
Nick,WAS,1,1.76,0.57
Nick,MIA,1,1.89,0.53
Nick,BAL,1,2.09,0.48
Nick,SF,1,2.23,0.45
Ryan,LAC,5,2.33,2.15
Ryan,DEN,5,2.46,2.03
Ryan,TB,4,2.2,1.82
Ryan,DAL,4,2.26,1.77
Ryan,CAR,3,1.73,1.73
Ryan,GB,3,2.2,1.37
Ryan,NYG,2,1.46,1.37
Ryan,PHI,3,2.2,1.37
Ryan,DET,3,2.26,1.33
Ryan,JAX,3,2.26,1.33
Ryan,BUF,3,2.46,1.22
Ryan,LAR,2,1.73,1.16
Ryan,PIT,2,1.73,1.16
Ryan,SEA,2,1.8,1.11
Ryan,ARI,2,1.86,1.07
Ryan,CHI,2,2.06,0.97
Ryan,HOU,2,2.06,0.97
Ryan,CIN,2,2.13,0.94
Ryan,SF,2,2.2,0.91
Ryan,KC,2,2.73,0.73
Ryan,NO,1,1.4,0.72
Ryan,NYJ,1,1.53,0.65
Ryan,CLE,1,1.8,0.56
Ryan,IND,1,1.86,0.54
Ryan,MIA,1,1.86,0.54
Ryan,NE,1,1.86,0.54
Ryan,LV,1,1.93,0.52
Ryan,BAL,1,2.06,0.48
