analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,tier_color,tier_rank,injury_concern,resp_targets,color_targets,resp_receptions,color_receptions,resp_touchdowns,color_touchdowns,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_quarterbacks_rank_in_qbr,color_quarterbacks_rank_in_qbr,resp_rank_in_team_pass_attempts,color_rank_in_team_pass_attempts,resp_rank_in_team_targets,color_rank_in_team_targets,resp_rank_in_receiving_touchdown,color_rank_in_receiving_touchdown,resp_route_participation,color_route_participation,resp_in_line_pct,color_in_line_pct,resp_rank_in_yards_per_route_run,color_rank_in_yards_per_route_run,n_green,n_yellow,n_orange,n_red,n_cells_counted,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,11,Mark Andrews,Mark Andrews,,NOT IN SOURCE - TE grid has no archetype row,green,2,Some Concern,No,red,No,red,Yes,yellow,Yes,yellow,Yes,green,?,orange,?,orange,Yes,green,Yes,yellow,Yes,yellow,?,orange,2,4,4,2,12,2,4,4,2,12,12,Y,,13,-2
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,12,Dalton Kincaid,Dalton Kincaid,,NOT IN SOURCE - TE grid has no archetype row,purple,1,Some Concern,?,orange,?,orange,Yes,yellow,Yes,green,Yes,green,?,orange,Yes,green,Yes,green,?,orange,Yes,green,Yes,green,6,1,5,0,12,6,1,5,0,28,28,Y,,5,7
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,13,Isaiah Likely,Isaiah Likely,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,?,orange,?,orange,Yes,yellow,No,red,?,orange,No,red,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,0,6,4,2,12,0,6,4,2,8,8,Y,,17,-4
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,14,Jake Ferguson,Jake Ferguson,,NOT IN SOURCE - TE grid has no archetype row,green,2,Some Concern,?,orange,?,orange,Yes,yellow,Yes,green,Yes,green,Yes,green,No,red,Yes,yellow,Yes,yellow,Yes,yellow,No,red,3,4,3,2,12,3,4,3,2,18,18,Y,,12,2
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,15,Dallas Goedert,Dallas Goedert,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,Yes,yellow,Yes,yellow,?,orange,?,orange,?,orange,Yes,yellow,?,orange,Yes,yellow,?,orange,0,5,5,2,12,0,5,5,2,4,4,Y,,23,-8
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,16,Chig Okonkwo,Chigoziem Okonkwo,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,?,orange,Yes,yellow,No,red,0,6,3,3,12,0,6,3,3,6,6,Y,,19,-3
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,17,Oronde Gadsden,Oronde Gadsden II,,NOT IN SOURCE - TE grid has no archetype row,green,2,Minimal Concerns,?,orange,?,orange,Yes,yellow,Yes,green,Yes,green,Yes,yellow,?,orange,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,2,6,4,0,12,2,6,4,0,24,24,Y,,10,7
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,18,Brenton Strange,Brenton Strange,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,No,red,?,orange,?,orange,?,orange,No,red,0,5,3,4,12,0,5,3,4,0,0,Y,,27,-9
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,19,Hunter Henry,Hunter Henry,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Some Concern,No,red,No,red,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,No,red,Yes,yellow,?,orange,Yes,yellow,No,red,1,5,2,4,12,1,5,2,4,6,6,Y,,20,-1
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,20,Juwan Johnson,Juwan Johnson,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,Yes,yellow,?,orange,?,orange,Yes,yellow,?,orange,Yes,yellow,?,orange,Yes,yellow,No,red,0,5,4,3,12,0,5,4,3,2,2,Y,,25,-5
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,21,Kenyon Sadiq,Kenyon Sadiq,,NOT IN SOURCE - TE grid has no archetype row,green,2,Minimal Concerns,?,orange,?,orange,Yes,yellow,No,red,No,red,No,red,Yes,yellow,Yes,yellow,?,orange,Yes,green,Yes,green,2,4,3,3,12,2,4,3,3,10,10,Y,,15,6
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,22,Dalton Schultz,Dalton Schultz,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,Yes,yellow,No,red,No,red,0,6,2,4,12,0,6,2,4,4,4,Y,,24,-2
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,23,TJ Hockenson,T.J. Hockenson,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Some Concern,?,orange,?,orange,Yes,yellow,?,orange,?,orange,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,No,red,Yes,yellow,0,5,6,1,12,0,5,5,1,6,7,N,Published counts total 11 cells against 12 in the grid; one orange was omitted. Grid yields 6 orange and a score of 6.,21,2
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,24,AJ Barner,A.J. Barner,,NOT IN SOURCE - TE grid has no archetype row,red,5,Minimal Concerns,No,red,No,red,No,red,Yes,yellow,?,orange,No,red,?,orange,Yes,yellow,No,red,No,red,No,red,0,3,2,7,12,0,3,2,7,-14,-14,Y,,31,-7
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,25,Greg Dulcich,Greg Dulcich,,NOT IN SOURCE - TE grid has no archetype row,red,5,Minimal Concerns,No,red,No,red,No,red,No,red,No,red,No,red,Yes,green,Yes,green,Yes,yellow,?,orange,No,red,2,2,1,7,12,2,2,1,7,-6,-6,Y,,30,-5
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,26,Gunnar Helm,Gunnar Helm,,NOT IN SOURCE - TE grid has no archetype row,red,5,Minimal Concerns,No,red,No,red,No,red,No,red,?,orange,Yes,yellow,No,red,?,orange,?,orange,?,orange,?,orange,0,2,5,5,12,0,2,5,5,-14,-14,Y,,32,-6
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,27,Cade Otton,Cade Otton,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,No,red,?,orange,Yes,green,Yes,yellow,No,red,1,5,2,4,12,1,5,2,4,6,6,Y,,22,5
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,28,Terrance Ferguson,Terrance Ferguson,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,?,orange,Yes,green,Yes,green,Yes,green,No,red,?,orange,?,orange,Yes,yellow,?,orange,3,2,4,3,12,3,2,4,3,8,8,Y,,18,10
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,29,Pat Freiermuth,Pat Freiermuth,,NOT IN SOURCE - TE grid has no archetype row,yellow,3,Minimal Concerns,?,orange,?,orange,?,orange,Yes,yellow,?,orange,Yes,yellow,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,0,6,6,0,12,0,6,5,0,12,13,N,Published counts total 11 cells against 12 in the grid; one orange was omitted. Grid yields 6 orange and a score of 12.,14,15
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,30,Mike Gesicki,Mike Gesicki,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,No,red,No,red,No,red,Yes,green,Yes,green,Yes,green,No,red,No,red,No,red,Yes,green,No,red,4,1,0,7,12,4,1,0,7,2,2,Y,,26,4
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,31,Eli Stowers,Eli Stowers,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Minimal Concerns,?,orange,?,orange,?,orange,Yes,yellow,?,orange,?,orange,No,red,No,red,?,orange,Yes,yellow,Yes,yellow,0,4,6,2,12,0,4,5,2,0,1,N,Published counts total 11 cells against 12 in the grid; one orange was omitted. Grid yields 6 orange and a score of 0.,28,3
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,32,Evan Engram,Evan Engram,,NOT IN SOURCE - TE grid has no archetype row,red,5,Some Concern,No,red,No,red,?,orange,Yes,green,Yes,yellow,Yes,green,No,red,No,red,No,red,Yes,yellow,No,red,2,2,2,6,12,2,2,2,6,-4,-4,Y,,29,3
