analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,factor,factor_group,factor_kind,league_average_reference,response,color,color_points,counts_toward_score,extraction_confidence,extraction_method
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Rank in Yards per Route Run,situational,binary_vs_avg,5.14,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Injury/Age Concerns?,classification,injury,MC/SC/C,Minimal Concerns,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Targets,volume,binary_vs_avg,137.67,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Receptions,volume,binary_vs_avg,97.02,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Touchdowns,volume,binary_vs_avg,9.49,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Offensive Rank in PPG,situational,binary_vs_avg,11.78,?,orange,-1,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Quarterbacks Rank in QBR,situational,binary_vs_avg,9.70,No,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Rank in Team Pass Attempts,situational,binary_vs_avg,11.81,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Rank in Team Targets,situational,binary_vs_avg,1.43,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Rank in Receiving Touchdown,situational,binary_vs_avg,1.38,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Route Participation,situational,binary_vs_avg,79.8%,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,In-line %,situational,binary_vs_avg,39.0%,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Rank in Yards per Route Run,situational,binary_vs_avg,5.14,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,Injury/Age Concerns?,classification,injury,MC/SC/C,Minimal Concerns,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Targets,volume,binary_vs_avg,137.67,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Receptions,volume,binary_vs_avg,97.02,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Touchdowns,volume,binary_vs_avg,9.49,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Offensive Rank in PPG,situational,binary_vs_avg,11.78,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Quarterbacks Rank in QBR,situational,binary_vs_avg,9.70,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Rank in Team Pass Attempts,situational,binary_vs_avg,11.81,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Rank in Team Targets,situational,binary_vs_avg,1.43,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Rank in Receiving Touchdown,situational,binary_vs_avg,1.38,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Route Participation,situational,binary_vs_avg,79.8%,?,orange,-1,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,In-line %,situational,binary_vs_avg,39.0%,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Rank in Yards per Route Run,situational,binary_vs_avg,5.14,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,Injury/Age Concerns?,classification,injury,MC/SC/C,Minimal Concerns,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Targets,volume,binary_vs_avg,137.67,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Receptions,volume,binary_vs_avg,97.02,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Touchdowns,volume,binary_vs_avg,9.49,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Offensive Rank in PPG,situational,binary_vs_avg,11.78,?,orange,-1,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Quarterbacks Rank in QBR,situational,binary_vs_avg,9.70,?,orange,-1,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Rank in Team Pass Attempts,situational,binary_vs_avg,11.81,No,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Rank in Team Targets,situational,binary_vs_avg,1.43,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Rank in Receiving Touchdown,situational,binary_vs_avg,1.38,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Route Participation,situational,binary_vs_avg,79.8%,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,In-line %,situational,binary_vs_avg,39.0%,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Rank in Yards per Route Run,situational,binary_vs_avg,5.14,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,Injury/Age Concerns?,classification,injury,MC/SC/C,Minimal Concerns,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Targets,volume,binary_vs_avg,137.67,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Receptions,volume,binary_vs_avg,97.02,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Touchdowns,volume,binary_vs_avg,9.49,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Offensive Rank in PPG,situational,binary_vs_avg,11.78,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Quarterbacks Rank in QBR,situational,binary_vs_avg,9.70,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Rank in Team Pass Attempts,situational,binary_vs_avg,11.81,No,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Rank in Team Targets,situational,binary_vs_avg,1.43,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Rank in Receiving Touchdown,situational,binary_vs_avg,1.38,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Route Participation,situational,binary_vs_avg,79.8%,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,In-line %,situational,binary_vs_avg,39.0%,No,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Rank in Yards per Route Run,situational,binary_vs_avg,5.14,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,Injury/Age Concerns?,classification,injury,MC/SC/C,Concerned,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Targets,volume,binary_vs_avg,137.67,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Receptions,volume,binary_vs_avg,97.02,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Touchdowns,volume,binary_vs_avg,9.49,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Offensive Rank in PPG,situational,binary_vs_avg,11.78,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Quarterbacks Rank in QBR,situational,binary_vs_avg,9.70,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Rank in Team Pass Attempts,situational,binary_vs_avg,11.81,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Rank in Team Targets,situational,binary_vs_avg,1.43,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Rank in Receiving Touchdown,situational,binary_vs_avg,1.38,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,Route Participation,situational,binary_vs_avg,79.8%,Yes,yellow,3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
