rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_pass_att,clay_comp,clay_pass_yds,clay_pass_tds,clay_int,clay_sacked,clay_rush_att,clay_rush_yds,clay_rush_tds,mkt_pass_yds,mkt_pass_yds_book,mkt_as_of,adj_pass_yds,adj_pass_tds,adj_rush_yds,adj_rush_tds,adj_pass_att,adj_comp,adj_rush_att,ppr_clay_17g,ppr_clay_propadj,mkt_vs_clay17_pass_yds,mkt_vs_clayadj_pass_yds,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
16,Jared Goff,DET,16.0,269.0,17.0,544.0,371.0,4218.0,29.0,10.0,35.0,27.0,50.0,1.0,4099.5,DraftKings,2026-08-10,3721.8,25.6,44.1,0.9,480.0,327.4,23.8,324.72,286.68,-118.5,377.7,16.86,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
17,Baker Mayfield,TB,19.0,265.0,17.0,526.0,339.0,3828.0,25.0,12.0,38.0,54.0,324.0,1.0,3599.5,DraftKings,2026-08-10,3377.6,22.1,285.9,0.9,464.1,299.1,47.6,316.52,279.59,-228.5,221.9,16.45,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
18,Daniel Jones,IND,17.0,267.0,17.0,527.0,349.0,3742.0,20.0,11.0,43.0,73.0,307.0,6.0,,,,3301.8,17.6,270.9,5.3,465.0,307.9,64.4,316.38,278.96,,,16.41,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
19,Jordan Love,GB,20.0,259.0,17.0,531.0,342.0,3995.0,25.0,11.0,29.0,50.0,213.0,1.0,3549.5,DraftKings,2026-08-10,3525.0,22.1,187.9,0.9,468.5,301.8,44.1,312.1,275.69,-445.5,24.5,16.22,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
20,Tyler Shough,NO,18.0,265.0,17.0,548.0,356.0,3891.0,20.0,11.0,42.0,66.0,285.0,4.0,3449.5,DraftKings,2026-08-10,3433.2,17.6,251.5,3.5,483.5,314.1,58.2,308.14,271.48,-441.5,16.3,15.97,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
21,Sam Darnold,SEA,23.0,242.0,17.0,513.0,335.0,4013.0,24.0,12.0,38.0,44.0,126.0,1.0,3699.5,DraftKings,2026-08-10,3540.9,21.2,111.2,0.9,452.6,295.6,38.8,299.12,264.16,-313.5,158.6,15.54,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
22,C.J. Stroud,HST,22.0,246.0,17.0,551.0,351.0,3946.0,21.0,12.0,39.0,57.0,249.0,1.0,3599.5,DraftKings,2026-08-10,3481.8,18.5,219.7,0.9,486.2,309.7,50.3,293.74,259.14,-346.5,117.7,15.24,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
23,Kyler Murray,MIN,21.0,251.0,17.0,490.0,331.0,3347.0,19.0,10.0,34.0,71.0,444.0,3.0,,,,2953.2,16.8,391.8,2.6,432.4,292.1,62.6,291.28,256.91,,,15.11,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
24,Bryce Young,CAR,24.0,238.0,17.0,540.0,336.0,3642.0,20.0,12.0,37.0,58.0,272.0,2.0,2924.5,DraftKings,2026-08-10,3213.5,17.6,240.0,1.8,476.5,296.5,51.2,284.88,251.34,-717.5,-289.0,14.78,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
25,Geno Smith,NYJ,26.0,232.0,17.0,531.0,361.0,3813.0,20.0,14.0,47.0,58.0,220.0,1.0,,,,3364.4,17.6,194.1,0.9,468.5,318.5,51.2,280.52,247.39,,,14.55,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
26,Malik Willis,MIA,25.0,237.0,17.0,505.0,322.0,3554.0,13.0,10.0,42.0,106.0,545.0,3.0,2949.5,DraftKings,2026-08-10,3135.9,11.5,480.9,2.6,445.6,284.1,93.5,279.66,246.63,-604.5,-186.4,14.51,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
27,Aaron Rodgers,PIT,28.0,218.0,17.0,568.0,363.0,3768.0,20.0,11.0,38.0,28.0,100.0,1.0,3149.5,DraftKings,2026-08-10,3324.7,17.6,88.2,0.9,501.2,320.3,24.7,266.72,235.21,-618.5,-175.2,13.84,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
28,Cameron Ward,TEN,27.0,219.0,17.0,558.0,355.0,3753.0,16.0,10.0,41.0,47.0,200.0,2.0,,,,3311.5,14.1,176.5,1.8,492.4,313.2,41.5,262.12,231.41,,,13.61,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
29,Jacoby Brissett,ARZ,29.0,200.0,17.0,517.0,327.0,3359.0,15.0,9.0,40.0,47.0,210.0,1.0,,,,2963.8,13.2,185.3,0.9,456.2,288.5,41.5,236.36,208.48,,,12.26,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
30,Fernando Mendoza,LV,30.0,187.0,17.0,448.0,283.0,3052.0,14.0,10.0,36.0,52.0,226.0,2.0,,,,2692.9,12.4,199.4,1.8,395.3,249.7,45.9,226.68,200.46,,,11.79,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
31,Deshaun Watson,CLV,31.0,124.0,17.0,311.0,191.0,2042.0,8.0,7.0,31.0,42.0,211.0,1.0,,,,1801.8,7.1,186.2,0.9,274.4,168.5,37.1,148.78,131.59,,,7.74,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
32,Tua Tagovailoa,ATL,32.0,115.0,17.0,302.0,204.0,2171.0,10.0,8.0,20.0,16.0,44.0,0.0,,,,1915.6,8.8,38.8,0.0,266.5,180.0,14.1,141.24,124.5,,,7.32,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
33,Michael Penix Jr.,ATL,33.0,114.0,17.0,265.0,168.0,1886.0,10.0,5.0,16.0,19.0,77.0,1.0,,,,1664.1,8.8,67.9,0.9,233.8,148.2,16.8,139.14,122.75,,,7.22,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
34,Shedeur Sanders,CLV,34.0,96.0,17.0,232.0,147.0,1623.0,7.0,6.0,18.0,21.0,119.0,1.0,,,,1432.1,6.2,105.0,0.9,204.7,129.7,18.5,117.82,104.18,,,6.13,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
35,Kirk Cousins,LV,35.0,46.0,17.0,118.0,78.0,833.0,4.0,3.0,7.0,6.0,11.0,0.0,,,,735.0,3.5,9.7,0.0,104.1,68.8,5.3,54.42,47.87,,,2.82,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
36,J.J. McCarthy,MIN,36.0,40.0,17.0,86.0,55.0,599.0,3.0,2.0,6.0,10.0,44.0,1.0,,,,528.5,2.6,38.8,0.9,75.9,48.5,8.8,49.36,43.42,,,2.55,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
37,Jarrett Stidham,DEN,40.0,10.0,17.0,22.0,14.0,161.0,1.0,1.0,2.0,2.0,7.0,0.0,,,,142.1,0.9,6.2,0.0,19.4,12.4,1.8,12.14,10.8,,,0.64,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
38,Justin Fields,KC,38.0,11.0,17.0,21.0,13.0,140.0,1.0,0.0,3.0,3.0,15.0,0.0,,,,123.5,0.9,13.2,0.0,18.5,11.5,2.6,12.1,10.76,,,0.63,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
39,Joe Flacco,CIN,39.0,11.0,17.0,25.0,15.0,164.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,144.7,0.9,0.9,0.0,22.1,13.2,0.0,11.66,10.38,,,0.61,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
40,Carson Beck,ARZ,37.0,29.0,2.0,66.0,41.0,448.0,3.0,2.0,5.0,7.0,29.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.82,0.0,,,0.0,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
