team,ol_pff_rank,ol_pff_tier,ol_clay_grade,ol_clay_rank,ol_blend_score,ol_blend_rank,ol_blend_tier,ol_source_gap_pff_minus_clay,pff_source,clay_source,blend_method
DET,19,3,6,17.0,18.0,18,3,2.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
NYJ,21,3,6,17.0,19.0,19,3,4.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
ARZ,22,3,6,17.0,19.5,20,3,5.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
NYG,23,3,6,17.0,20.0,21,3,6.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
BLT,24,3,6,17.0,20.5,22,3,7.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
PIT,14,2,5,29.0,21.5,23,3,-15.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
CAR,26,4,6,17.0,21.5,23,3,9.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
GB,28,4,6,17.0,22.5,25,4,11.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
JAX,30,4,6,17.0,23.5,26,4,13.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
CIN,20,3,5,29.0,24.5,27,4,-9.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
MIA,25,4,5,29.0,27.0,28,4,-4.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
HST,27,4,5,29.0,28.0,29,4,-2.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
TEN,29,4,5,29.0,29.0,30,4,0.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
CLV,31,4,5,29.0,30.0,31,4,2.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
WAS,32,4,5,29.0,30.5,32,4,3.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
