season,league,draft_id,rounds,username,manager,current_member,round,pick_in_round,overall,player,pos,nfl_team
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,3,1,25,K. Pitts,TE,ATL
2022,main,851584287596732416,17,clappinyou,Dylan,Y,3,2,26,L. Fournette,RB,TB
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,3,3,27,M. Pittman,WR,IND
2022,main,851584287596732416,17,jrocka33,,N,3,4,28,M. Evans,WR,TB
2022,main,851584287596732416,17,Harryschultz,,N,3,5,29,E. Elliott,RB,DAL
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,3,6,30,T. Etienne,RB,JAX
2022,main,851584287596732416,17,hunterslosser,,N,3,7,31,J. Conner,RB,ARI
2022,main,851584287596732416,17,brianthebuck15,,N,3,8,32,D. Johnson,WR,PIT
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,3,9,33,C. Akers,RB,LAR
2022,main,851584287596732416,17,levibrad,,N,3,10,34,K. Allen,WR,LAC
2022,main,851584287596732416,17,gregdani612,Greg,Y,3,11,35,T. Higgins,WR,CIN
2022,main,851584287596732416,17,npd312,Nick,Y,3,12,36,D. Montgomery,RB,CHI
2022,main,851584287596732416,17,npd312,Nick,Y,4,1,37,B. Hall,RB,NYJ
2022,main,851584287596732416,17,gregdani612,Greg,Y,4,2,38,J. Allen,QB,BUF
2022,main,851584287596732416,17,levibrad,,N,4,3,39,A. Brown,WR,PHI
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,4,4,40,T. McLaurin,WR,WAS
2022,main,851584287596732416,17,brianthebuck15,,N,4,5,41,T. Bass,K,BUF
2022,main,851584287596732416,17,hunterslosser,,N,4,6,42,D. Moore,WR,CAR
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,4,7,43,J. Herbert,QB,LAC
2022,main,851584287596732416,17,Harryschultz,,N,4,8,44,D. Metcalf,WR,SEA
2022,main,851584287596732416,17,jrocka33,,N,4,9,45,P. Mahomes,QB,KC
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,4,10,46,C. Sutton,WR,DEN
2022,main,851584287596732416,17,clappinyou,Dylan,Y,4,11,47,G. Kittle,TE,SF
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,4,12,48,M. Williams,WR,LAC
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,5,1,49,J. Dobbins,RB,BAL
2022,main,851584287596732416,17,clappinyou,Dylan,Y,5,2,50,J. Burrow,QB,CIN
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,5,3,51,D. Schultz,TE,DAL
2022,main,851584287596732416,17,jrocka33,,N,5,4,52,J. Jacobs,RB,LV
2022,main,851584287596732416,17,Harryschultz,,N,5,5,53,L. Jackson,QB,BAL
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,5,6,54,J. Jeudy,WR,DEN
2022,main,851584287596732416,17,hunterslosser,,N,5,7,55,A. Robinson,WR,LAR
2022,main,851584287596732416,17,brianthebuck15,,N,5,8,56,S. 49ers,DEF,SF
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,5,9,57,D. Waller,TE,LV
2022,main,851584287596732416,17,levibrad,,N,5,10,58,A. Gibson,RB,WAS
2022,main,851584287596732416,17,gregdani612,Greg,Y,5,11,59,M. Brown,WR,ARI
2022,main,851584287596732416,17,npd312,Nick,Y,5,12,60,J. Waddle,WR,MIA
2022,main,851584287596732416,17,npd312,Nick,Y,6,1,61,K. Murray,QB,ARI
2022,main,851584287596732416,17,gregdani612,Greg,Y,6,2,62,J. Hurts,QB,PHI
2022,main,851584287596732416,17,levibrad,,N,6,3,63,J. Smith-Schuster,WR,KC
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,6,4,64,T. Brady,QB,TB
2022,main,851584287596732416,17,brianthebuck15,,N,6,5,65,M. Stafford,QB,LAR
2022,main,851584287596732416,17,hunterslosser,,N,6,6,66,B. Cooks,WR,HOU
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,6,7,67,C. Godwin,WR,TB
2022,main,851584287596732416,17,Harryschultz,,N,6,8,68,M. Thomas,WR,NO
2022,main,851584287596732416,17,jrocka33,,N,6,9,69,E. Mitchell,RB,SF
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,6,10,70,A. Dillon,RB,GB
2022,main,851584287596732416,17,clappinyou,Dylan,Y,6,11,71,A. Thielen,WR,MIN
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,6,12,72,D. Mooney,WR,CHI
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,7,1,73,R. Bateman,WR,BAL
2022,main,851584287596732416,17,clappinyou,Dylan,Y,7,2,74,C. Edwards-Helaire,RB,KC
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,7,3,75,A. St. Brown,WR,DET
2022,main,851584287596732416,17,jrocka33,,N,7,4,76,A. Cooper,WR,CLE
2022,main,851584287596732416,17,Harryschultz,,N,7,5,77,M. Sanders,RB,PHI
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,7,6,78,D. London,WR,ATL
2022,main,851584287596732416,17,hunterslosser,,N,7,7,79,A. Lazard,WR,GB
2022,main,851584287596732416,17,brianthebuck15,,N,7,8,80,K. Cousins,QB,MIN
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,7,9,81,D. Harris,RB,NE
2022,main,851584287596732416,17,levibrad,,N,7,10,82,T. Hockenson,TE,DET
2022,main,851584287596732416,17,gregdani612,Greg,Y,7,11,83,D. Goedert,TE,PHI
2022,main,851584287596732416,17,npd312,Nick,Y,7,12,84,E. Moore,WR,NYJ
2022,main,851584287596732416,17,npd312,Nick,Y,8,1,85,D. Hopkins,WR,ARI
2022,main,851584287596732416,17,gregdani612,Greg,Y,8,2,86,K. Hunt,RB,CLE
2022,main,851584287596732416,17,levibrad,,N,8,3,87,D. Prescott,QB,DAL
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,8,4,88,D. Smith,WR,PHI
2022,main,851584287596732416,17,brianthebuck15,,N,8,5,89,G. Davis,WR,BUF
2022,main,851584287596732416,17,hunterslosser,,N,8,6,90,C. Edmonds,RB,MIA
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,8,7,91,Z. Ertz,TE,ARI
2022,main,851584287596732416,17,Harryschultz,,N,8,8,92,H. Renfrow,WR,LV
2022,main,851584287596732416,17,jrocka33,,N,8,9,93,T. Lockett,WR,SEA
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,8,10,94,C. Kirk,WR,JAX
2022,main,851584287596732416,17,clappinyou,Dylan,Y,8,11,95,A. Rodgers,QB,GB
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,8,12,96,D. Pierce,RB,HOU
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,9,1,97,C. Patterson,RB,ATL
2022,main,851584287596732416,17,clappinyou,Dylan,Y,9,2,98,R. Woods,WR,TEN
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,9,3,99,D. Carr,QB,LV
2022,main,851584287596732416,17,jrocka33,,N,9,4,100,D. Knox,TE,BUF
2022,main,851584287596732416,17,Harryschultz,,N,9,5,101,P. Freiermuth,TE,PIT
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,9,6,102,R. Stevenson,RB,NE
2022,main,851584287596732416,17,hunterslosser,,N,9,7,103,T. Lance,QB,SF
2022,main,851584287596732416,17,brianthebuck15,,N,9,8,104,T. Pollard,RB,DAL
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,9,9,105,G. Pickens,WR,PIT
2022,main,851584287596732416,17,levibrad,,N,9,10,106,B. Aiyuk,WR,SF
2022,main,851584287596732416,17,gregdani612,Greg,Y,9,11,107,K. Walker,RB,SEA
2022,main,851584287596732416,17,npd312,Nick,Y,9,12,108,M. Carter,RB,NYJ
2022,main,851584287596732416,17,npd312,Nick,Y,10,1,109,C. Olave,WR,NO
2022,main,851584287596732416,17,gregdani612,Greg,Y,10,2,110,R. Penny,RB,SEA
2022,main,851584287596732416,17,levibrad,,N,10,3,111,A. Mattison,RB,MIN
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,10,4,112,K. Toney,WR,NYG
2022,main,851584287596732416,17,brianthebuck15,,N,10,5,113,D. Singletary,RB,BUF
2022,main,851584287596732416,17,hunterslosser,,N,10,6,114,C. Kmet,TE,CHI
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,10,7,115,T. Burks,WR,TEN
2022,main,851584287596732416,17,Harryschultz,,N,10,8,116,D. Njoku,TE,CLE
2022,main,851584287596732416,17,jrocka33,,N,10,9,117,B. Bills,DEF,BUF
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,10,10,118,D. Henderson,RB,LAR
2022,main,851584287596732416,17,clappinyou,Dylan,Y,10,11,119,L. Rams,DEF,LAR
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,10,12,120,G. Wilson,WR,NYJ
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,11,1,121,S. Moore,WR,KC
2022,main,851584287596732416,17,clappinyou,Dylan,Y,11,2,122,T. Boyd,WR,CIN
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,11,3,123,M. Gordon,RB,DEN
2022,main,851584287596732416,17,jrocka33,,N,11,4,124,J. Fields,QB,CHI
2022,main,851584287596732416,17,Harryschultz,,N,11,5,125,J. Jones,WR,TB
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,11,6,126,K. Gainwell,RB,PHI
2022,main,851584287596732416,17,hunterslosser,,N,11,7,127,N. Hines,RB,IND
2022,main,851584287596732416,17,brianthebuck15,,N,11,8,128,J. Cook,RB,BUF
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,11,9,129,J. Robinson,RB,JAX
2022,main,851584287596732416,17,levibrad,,N,11,10,130,M. Gesicki,TE,MIA
2022,main,851584287596732416,17,gregdani612,Greg,Y,11,11,131,C. Claypool,WR,PIT
2022,main,851584287596732416,17,npd312,Nick,Y,11,12,132,K. Herbert,RB,CHI
2022,main,851584287596732416,17,npd312,Nick,Y,12,1,133,R. Moore,WR,ARI
2022,main,851584287596732416,17,gregdani612,Greg,Y,12,2,134,T. Allgeier,RB,ATL
2022,main,851584287596732416,17,levibrad,,N,12,3,135,T. Buccaneers,DEF,TB
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,12,4,136,N. Saints,DEF,NO
2022,main,851584287596732416,17,brianthebuck15,,N,12,5,137,A. Okwuegbunam,TE,DEN
2022,main,851584287596732416,17,hunterslosser,,N,12,6,138,M. Ingram,RB,NO
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,12,7,139,I. Colts,DEF,IND
2022,main,851584287596732416,17,Harryschultz,,N,12,8,140,C. Hubbard,RB,CAR
2022,main,851584287596732416,17,jrocka33,,N,12,9,141,J. Landry,WR,NO
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,12,10,142,E. McPherson,K,CIN
2022,main,851584287596732416,17,clappinyou,Dylan,Y,12,11,143,J. Tucker,K,BAL
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,12,12,144,D. Carlson,K,LV
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,13,1,145,J. Dotson,WR,WAS
2022,main,851584287596732416,17,clappinyou,Dylan,Y,13,2,146,H. Henry,TE,NE
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,13,3,147,L. Chargers,DEF,LAC
2022,main,851584287596732416,17,jrocka33,,N,13,4,148,M. Prater,K,ARI
2022,main,851584287596732416,17,Harryschultz,,N,13,5,149,T. Higbee,TE,LAR
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,13,6,150,I. Smith,TE,MIN
2022,main,851584287596732416,17,hunterslosser,,N,13,7,151,R. Tonyan,TE,GB
2022,main,851584287596732416,17,brianthebuck15,,N,13,8,152,M. Valdes-Scantling,WR,KC
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,13,9,153,A. Hooper,TE,TEN
2022,main,851584287596732416,17,levibrad,,N,13,10,154,M. Gallup,WR,DAL
2022,main,851584287596732416,17,gregdani612,Greg,Y,13,11,155,B. Ravens,DEF,BAL
2022,main,851584287596732416,17,npd312,Nick,Y,13,12,156,H. Butker,K,KC
2022,main,851584287596732416,17,npd312,Nick,Y,14,1,157,D. Broncos,DEF,DEN
2022,main,851584287596732416,17,gregdani612,Greg,Y,14,2,158,M. Gay,K,LAR
2022,main,851584287596732416,17,levibrad,,N,14,3,159,R. Mostert,RB,MIA
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,14,4,160,B. McManus,K,DEN
2022,main,851584287596732416,17,brianthebuck15,,N,14,5,161,R. Doubs,WR,GB
2022,main,851584287596732416,17,hunterslosser,,N,14,6,162,J. Winston,QB,NO
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,14,7,163,I. McKenzie,WR,BUF
2022,main,851584287596732416,17,Harryschultz,,N,14,8,164,T. Tagovailoa,QB,MIA
2022,main,851584287596732416,17,jrocka33,,N,14,9,165,D. Parker,WR,NE
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,14,10,166,R. White,RB,TB
2022,main,851584287596732416,17,clappinyou,Dylan,Y,14,11,167,K. Golladay,WR,NYG
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,14,12,168,J. McKissic,RB,WAS
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,15,1,169,D. Chark,WR,DET
2022,main,851584287596732416,17,clappinyou,Dylan,Y,15,2,170,I. Spiller,RB,LAC
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,15,3,171,J. Tolbert,WR,DAL
2022,main,851584287596732416,17,jrocka33,,N,15,4,172,G. Packers,DEF,GB
2022,main,851584287596732416,17,Harryschultz,,N,15,5,173,D. Cowboys,DEF,DAL
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,15,6,174,K. Hamler,WR,DEN
2022,main,851584287596732416,17,hunterslosser,,N,15,7,175,J. Meyers,WR,NE
2022,main,851584287596732416,17,brianthebuck15,,N,15,8,176,R. Gage,WR,TB
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,15,9,177,J. Williams,RB,DET
2022,main,851584287596732416,17,levibrad,,N,15,10,178,I. Pacheco,RB,KC
2022,main,851584287596732416,17,gregdani612,Greg,Y,15,11,179,T. Lawrence,QB,JAX
2022,main,851584287596732416,17,npd312,Nick,Y,15,12,180,M. Jones,QB,NE
2022,main,851584287596732416,17,npd312,Nick,Y,16,1,181,J. Williams,WR,DET
2022,main,851584287596732416,17,gregdani612,Greg,Y,16,2,182,Z. White,RB,LV
2022,main,851584287596732416,17,levibrad,,N,16,3,183,Y. Koo,K,ATL
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,16,4,184,M. Ryan,QB,IND
2022,main,851584287596732416,17,brianthebuck15,,N,16,5,185,R. Jones,RB,KC
2022,main,851584287596732416,17,hunterslosser,,N,16,6,186,P. Steelers,DEF,PIT
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,16,7,187,D. Bell,WR,CLE
2022,main,851584287596732416,17,Harryschultz,,N,16,8,188,R. Blankenship,K,IND
2022,main,851584287596732416,17,jrocka33,,N,16,9,189,W. Robinson,WR,NYG
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,16,10,190,M. Hardman,WR,KC
2022,main,851584287596732416,17,clappinyou,Dylan,Y,16,11,191,A. Green,WR,ARI
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,16,12,192,C. Watson,WR,GB
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,17,1,193,A. Pierce,WR,IND
2022,main,851584287596732416,17,clappinyou,Dylan,Y,17,2,194,K. Rudolph,TE,TB
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,17,3,195,S. Watkins,WR,GB
2022,main,851584287596732416,17,jrocka33,,N,17,4,196,S. Shepard,WR,NYG
2022,main,851584287596732416,17,Harryschultz,,N,17,5,197,N. Patriots,DEF,NE
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,17,6,198,R. Succop,K,TB
2022,main,851584287596732416,17,hunterslosser,,N,17,7,199,N. Folk,K,NE
2022,main,851584287596732416,17,brianthebuck15,,N,17,8,200,N. Fant,TE,SEA
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,17,9,201,R. Anderson,WR,CAR
2022,main,851584287596732416,17,levibrad,,N,17,10,202,O. Beckham,WR,FA
2022,main,851584287596732416,17,gregdani612,Greg,Y,17,11,203,G. Everett,TE,LAC
2022,main,851584287596732416,17,npd312,Nick,Y,17,12,204,E. Engram,TE,JAX
2023,main,916453503533510657,17,Harryschultz,,N,1,1,1,C. McCaffrey,RB,SF
2023,main,916453503533510657,17,brianthebuck15,,N,1,2,2,J. Jefferson,WR,MIN
2023,main,916453503533510657,17,hunterslosser,,N,1,3,3,J. Chase,WR,CIN
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,1,4,4,T. Hill,WR,MIA
2023,main,916453503533510657,17,jrocka33,,N,1,5,5,A. Ekeler,RB,LAC
2023,main,916453503533510657,17,clappinyou,Dylan,Y,1,6,6,C. Kupp,WR,LAR
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,1,7,7,S. Barkley,RB,NYG
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,1,8,8,T. Kelce,TE,KC
2023,main,916453503533510657,17,levibrad,,N,1,9,9,B. Robinson,RB,ATL
2023,main,916453503533510657,17,gregdani612,Greg,Y,1,10,10,S. Diggs,WR,BUF
2023,main,916453503533510657,17,npd312,Nick,Y,1,11,11,C. Lamb,WR,DAL
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,1,12,12,N. Chubb,RB,CLE
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,2,1,13,D. Adams,WR,LV
2023,main,916453503533510657,17,npd312,Nick,Y,2,2,14,A. Brown,WR,PHI
2023,main,916453503533510657,17,gregdani612,Greg,Y,2,3,15,D. Henry,RB,TEN
2023,main,916453503533510657,17,levibrad,,N,2,4,16,A. St. Brown,WR,DET
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,2,5,17,T. Pollard,RB,DAL
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,2,6,18,G. Wilson,WR,NYJ
2023,main,916453503533510657,17,clappinyou,Dylan,Y,2,7,19,J. Jacobs,RB,LV
2023,main,916453503533510657,17,jrocka33,,N,2,8,20,P. Mahomes,QB,KC
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,2,9,21,J. Gibbs,RB,DET
2023,main,916453503533510657,17,hunterslosser,,N,2,10,22,J. Waddle,WR,MIA
2023,main,916453503533510657,17,brianthebuck15,,N,2,11,23,C. Olave,WR,NO
2023,main,916453503533510657,17,Harryschultz,,N,2,12,24,D. Smith,WR,PHI
2023,main,916453503533510657,17,Harryschultz,,N,3,1,25,J. Hurts,QB,PHI
2023,main,916453503533510657,17,brianthebuck15,,N,3,2,26,N. Harris,RB,PIT
2023,main,916453503533510657,17,hunterslosser,,N,3,3,27,M. Andrews,TE,BAL
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,3,4,28,C. Ridley,WR,JAX
2023,main,916453503533510657,17,jrocka33,,N,3,5,29,T. Higgins,WR,CIN
2023,main,916453503533510657,17,clappinyou,Dylan,Y,3,6,30,D. Samuel,WR,SF
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,3,7,31,D. Metcalf,WR,SEA
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,3,8,32,T. Etienne,RB,JAX
2023,main,916453503533510657,17,levibrad,,N,3,9,33,R. Stevenson,RB,NE
2023,main,916453503533510657,17,gregdani612,Greg,Y,3,10,34,J. Allen,QB,BUF
2023,main,916453503533510657,17,npd312,Nick,Y,3,11,35,B. Hall,RB,NYJ
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,3,12,36,J. Mixon,RB,CIN
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,4,1,37,K. Allen,WR,LAC
2023,main,916453503533510657,17,npd312,Nick,Y,4,2,38,J. Fields,QB,CHI
2023,main,916453503533510657,17,gregdani612,Greg,Y,4,3,39,A. Cooper,WR,CLE
2023,main,916453503533510657,17,levibrad,,N,4,4,40,D. Moore,WR,CHI
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,4,5,41,K. Walker,RB,SEA
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,4,6,42,A. Jones,RB,GB
2023,main,916453503533510657,17,clappinyou,Dylan,Y,4,7,43,G. Kittle,TE,SF
2023,main,916453503533510657,17,jrocka33,,N,4,8,44,D. Waller,TE,NYG
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,4,9,45,T. Hockenson,TE,MIN
2023,main,916453503533510657,17,hunterslosser,,N,4,10,46,L. Jackson,QB,BAL
2023,main,916453503533510657,17,brianthebuck15,,N,4,11,47,M. Sanders,RB,CAR
2023,main,916453503533510657,17,Harryschultz,,N,4,12,48,D. Hopkins,WR,TEN
2023,main,916453503533510657,17,Harryschultz,,N,5,1,49,D. Pierce,RB,HOU
2023,main,916453503533510657,17,brianthebuck15,,N,5,2,50,D. Goedert,TE,PHI
2023,main,916453503533510657,17,hunterslosser,,N,5,3,51,A. Mattison,RB,MIN
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,5,4,52,J. Burrow,QB,CIN
2023,main,916453503533510657,17,jrocka33,,N,5,5,53,J. Dobbins,RB,BAL
2023,main,916453503533510657,17,clappinyou,Dylan,Y,5,6,54,J. Herbert,QB,LAC
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,5,7,55,D. Swift,RB,PHI
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,5,8,56,T. McLaurin,WR,WAS
2023,main,916453503533510657,17,levibrad,,N,5,9,57,D. London,WR,ATL
2023,main,916453503533510657,17,gregdani612,Greg,Y,5,10,58,C. Watson,WR,GB
2023,main,916453503533510657,17,npd312,Nick,Y,5,11,59,K. Pitts,TE,ATL
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,5,12,60,B. Aiyuk,WR,SF
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,6,1,61,C. Godwin,WR,TB
2023,main,916453503533510657,17,npd312,Nick,Y,6,2,62,A. Kamara,RB,NO
2023,main,916453503533510657,17,gregdani612,Greg,Y,6,3,63,M. Pittman,WR,IND
2023,main,916453503533510657,17,levibrad,,N,6,4,64,D. Cook,RB,NYJ
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,6,5,65,T. Lawrence,QB,JAX
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,6,6,66,G. Pickens,WR,PIT
2023,main,916453503533510657,17,clappinyou,Dylan,Y,6,7,67,R. Mostert,RB,MIA
2023,main,916453503533510657,17,jrocka33,,N,6,8,68,E. Engram,TE,JAX
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,6,9,69,D. Johnson,WR,PIT
2023,main,916453503533510657,17,hunterslosser,,N,6,10,70,J. Conner,RB,ARI
2023,main,916453503533510657,17,brianthebuck15,,N,6,11,71,D. Watson,QB,CLE
2023,main,916453503533510657,17,Harryschultz,,N,6,12,72,C. Akers,RB,LAR
2023,main,916453503533510657,17,Harryschultz,,N,7,1,73,M. Williams,WR,LAC
2023,main,916453503533510657,17,brianthebuck15,,N,7,2,74,C. Kirk,WR,JAX
2023,main,916453503533510657,17,hunterslosser,,N,7,3,75,M. Brown,WR,ARI
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,7,4,76,J. Jeudy,WR,DEN
2023,main,916453503533510657,17,jrocka33,,N,7,5,77,T. Lockett,WR,SEA
2023,main,916453503533510657,17,clappinyou,Dylan,Y,7,6,78,M. Evans,WR,TB
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,7,7,79,D. Prescott,QB,DAL
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,7,8,80,J. Smith-Njigba,WR,SEA
2023,main,916453503533510657,17,levibrad,,N,7,9,81,I. Pacheco,RB,KC
2023,main,916453503533510657,17,gregdani612,Greg,Y,7,10,82,J. Williams,RB,DEN
2023,main,916453503533510657,17,npd312,Nick,Y,7,11,83,J. Dotson,WR,WAS
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,7,12,84,P. Freiermuth,TE,PIT
2023,main,916453503533510657,17,josekhgreen,Joseph,Y,8,1,85,J. Addison,WR,MIN
2023,main,916453503533510657,17,npd312,Nick,Y,8,2,86,J. Taylor,RB,IND
2023,main,916453503533510657,17,gregdani612,Greg,Y,8,3,87,J. Cook,RB,BUF
2023,main,916453503533510657,17,levibrad,,N,8,4,88,D. Njoku,TE,CLE
2023,main,916453503533510657,17,BigBallsKaiden,Kaiden,Y,8,5,89,Z. Flowers,WR,BAL
2023,main,916453503533510657,17,RyanAnderson25,Ryan,Y,8,6,90,D. Kincaid,TE,BUF
2023,main,916453503533510657,17,clappinyou,Dylan,Y,8,7,91,G. Davis,WR,BUF
2023,main,916453503533510657,17,jrocka33,,N,8,8,92,B. Cooks,WR,DAL
2023,main,916453503533510657,17,nathanawright24,Nathan,Y,8,9,93,A. Gibson,RB,WAS
2023,main,916453503533510657,17,hunterslosser,,N,8,10,94,R. White,RB,TB
2023,main,916453503533510657,17,brianthebuck15,,N,8,11,95,D. Montgomery,RB,DET
2023,main,916453503533510657,17,Harryschultz,,N,8,12,96,D. Schultz,TE,HOU
